Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
4.53124E-4,0.045312397,0.163173395,1,0,0
4.64286E-4,0.091741005,0.166523606,0.998058252,0,0
4.68028E-4,0.138543763,0.167640589,0.996116505,0,0
4.77869E-4,0.233703321,0.170564253,0.99223301,0,0
4.87874E-4,0.330404913,0.173515789,0.988349515,0,0
4.9038E-4,0.428394329,0.174251687,0.984466019,0,0
5.06428E-4,0.529334527,0.178934014,0.980582524,0,0
5.09991E-4,0.631270297,0.179966343,0.976699029,0,0
5.24351E-4,0.736030977,0.184100672,0.972815534,0,0
5.26637E-4,0.788694717,0.184755166,0.970873786,0,0
5.30681E-4,0.841762801,0.185909971,0.968932039,0,0
5.37164E-4,0.948889257,0.187754867,0.965048544,0,0
5.4174E-4,1.003063246,0.189051781,0.963106796,0,0
5.47384E-4,1.112455125,0.190645977,0.959223301,0,0
5.74241E-4,1.22628071,0.198146346,0.955339806,0,0
5.90503E-4,1.343336012,0.202620658,0.951456311,0,0
6.0039E-4,1.40337503,0.205316784,0.949514563,0,0
6.02424E-4,1.523808894,0.205869064,0.945631068,0,0
6.09378E-4,1.766852673,0.207751848,0.937864078,0,0
6.1226E-4,2.011385856,0.208529399,0.930097087,0,0
6.21281E-4,2.259398421,0.210953757,0.922330097,0,0
6.26407E-4,2.50953157,0.212324728,0.914563107,0,0
6.33575E-4,2.761378881,0.214233851,0.906796117,0,0
6.54916E-4,3.021087369,0.219863434,0.899029126,0,0
6.77475E-4,3.289011666,0.225727186,0.891262136,0,0
6.94809E-4,3.563460241,0.230173488,0.883495146,0,0
6.99938E-4,3.772711621,0.231479209,0.877669903,0,0
7.16078E-4,4.0570271,0.235559673,0.869902913,0,0
7.2625E-4,4.273391788,0.238108996,0.86407767,0,0
7.29547E-4,4.564715649,0.238931633,0.85631068,0,0
7.35818E-4,4.78477417,0.240491607,0.850485437,0,0
7.42728E-4,5.006757678,0.242202997,0.844660194,0,0
7.55119E-4,5.307394893,0.245252822,0.836893204,0,0
7.60704E-4,5.535131795,0.246619169,0.831067961,0,0
7.69138E-4,5.765346318,0.248673601,0.825242718,0,0
7.88215E-4,6.000169355,0.253279378,0.819417476,0,0
7.92098E-4,6.316306816,0.254209864,0.811650485,0,0
8.04594E-4,6.556861811,0.257188696,0.805825243,0,0
8.1211E-4,6.799742704,0.258969091,0.8,0,0
8.22385E-4,7.045391266,0.261389153,0.794174757,0,0
8.38239E-4,7.294637714,0.265092552,0.788349515,0,0
8.63781E-4,7.550693428,0.270981202,0.782524272,0,0
8.68474E-4,7.810444222,0.272052848,0.776699029,0,0
8.94001E-4,8.075549386,0.277827742,0.770873786,0,0
9.11831E-4,8.256765496,0.28180738,0.766990291,0,0
9.23862E-4,8.533671199,0.284467725,0.761165049,0,0
9.24564E-4,8.810998354,0.284622541,0.755339806,0,0
9.2992E-4,9.089720165,0.28579994,0.749514563,0,0
9.44262E-4,9.277633575,0.288934347,0.745631068,0,0
9.58043E-4,9.56379458,0.291920062,0.739805825,0,0
