Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
5.13002E-4,0.05130017,0.184396665,1,0,0
5.24661E-4,0.103766293,0.187800573,0.998058252,0,0
5.34506E-4,0.210073372,0.190652679,0.994174757,0,0
5.40146E-4,0.317969983,0.192277557,0.990291262,0,0
5.50936E-4,0.427986597,0.195368035,0.986407767,0,0
5.6491E-4,0.539661128,0.199335765,0.982524272,0,0
5.71538E-4,0.653664186,0.201203829,0.978640777,0,0
5.72185E-4,0.710882725,0.20138588,0.976699029,0,0
5.85916E-4,0.769474295,0.205226626,0.974757282,0,0
5.87048E-4,0.828179075,0.205541659,0.972815534,0,0
5.9359E-4,0.946479185,0.207357169,0.968932039,0,0
5.97121E-4,1.006191259,0.208333718,0.966990291,0,0
6.05004E-4,1.126720071,0.210505259,0.963106796,0,0
6.10823E-4,1.248797156,0.212100485,0.959223301,0,0
6.27942E-4,1.311591362,0.216756308,0.957281553,0,0
6.44411E-4,1.439877396,0.221183871,0.953398058,0,0
6.55128E-4,1.505390199,0.224038085,0.951456311,0,0
6.70358E-4,1.7723657,0.228058672,0.94368932,0,0
6.74969E-4,2.04188107,0.229267629,0.93592233,0,0
6.83414E-4,2.313302172,0.231472052,0.92815534,0,0
6.86601E-4,2.519090958,0.232300765,0.922330097,0,0
6.91831E-4,2.795384995,0.233656795,0.914563107,0,0
6.95692E-4,3.003513194,0.234654993,0.908737864,0,0
7.17442E-4,3.287388377,0.240228813,0.900970874,0,0
7.36553E-4,3.505746832,0.245059608,0.895145631,0,0
7.47043E-4,3.803185752,0.247685346,0.887378641,0,0
7.62468E-4,4.031122683,0.251513382,0.881553398,0,0
7.69515E-4,4.261040717,0.253249269,0.875728155,0,0
7.85048E-4,4.573582572,0.257047068,0.867961165,0,0
7.93908E-4,4.81086841,0.259196306,0.862135922,0,0
7.96403E-4,5.049539652,0.259799039,0.85631068,0,0
8.02723E-4,5.289664285,0.261322039,0.850485437,0,0
8.09682E-4,5.531728101,0.262991698,0.844660194,0,0
8.21054E-4,5.776953927,0.265704038,0.838834951,0,0
8.25929E-4,6.02424472,0.266860585,0.833009709,0,0
8.35249E-4,6.273738726,0.269061709,0.827184466,0,0
8.51993E-4,6.526790401,0.272983171,0.821359223,0,0
8.565E-4,6.783577299,0.274031368,0.815533981,0,0
8.65185E-4,7.041847635,0.276043103,0.809708738,0,0
8.72408E-4,7.303277847,0.277707602,0.803883495,0,0
8.80058E-4,7.56707783,0.279462237,0.798058252,0,0
8.90075E-4,7.833881297,0.281747058,0.79223301,0,0
9.05386E-4,8.014268446,0.285211231,0.788349515,0,0
9.30834E-4,8.290452101,0.290895749,0.782524272,0,0
9.35503E-4,8.570315615,0.291928926,0.776699029,0,0
9.46777E-4,8.759415113,0.294411307,0.772815534,0,0
9.78553E-4,9.050072146,0.301315207,0.766990291,0,0
9.9047E-4,9.346962886,0.303869603,0.761165049,0,0
9.91027E-4,9.545154319,0.303988477,0.757281553,0,0
9.95628E-4,9.843312788,0.304969469,0.751456311,0,0
1.00137E-3,10.043096072,0.306188909,0.747572816,0,0
1.02099E-3,10.347777924,0.310327573,0.741747573,0,0
1.03012E-3,10.553216177,0.312235269,0.737864078,0,0
1.03413E-3,10.759655079,0.31307034,0.733980583,0,0
1.04637E-3,11.072599503,0.315606538,0.72815534,0,0
1.05536E-3,11.283322975,0.317457684,0.724271845,0,0
1.06777E-3,11.602076975,0.319996958,0.718446602,0,0
1.0738E-3,11.816601415,0.32122235,0.714563107,0,0
1.10322E-3,12.036198873,0.327144077,0.710679612,0,0
