X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-76.5972,3.5895,train,0.001716929216504933,28.503327134394617,0.4334954124434987
-76.08,5.1832,train,0.0019407194326354,35.057605749884225,0.46379284420660266
-75.5716,4.7255,train,0.002578634267456835,50.37558755636311,0.5347236606786264
-75.952,5.2037,train,0.00207850829102913,39.28388877885571,0.4808866051623428
-76.4311,3.8687,train,0.0015516547654014581,24.04326389343472,0.40882633444828914
-76.6333,3.5,train,0.0016053850637552949,25.310575136084168,0.4170785966284936
-75.891,5.3731,train,0.0021031647772730986,39.70243911003478,0.4838311211809529
-76.296,4.7415,train,0.0020219058254242646,37.438681760922364,0.4739982833266444
-75.6321,4.6302,train,0.0025386301053071424,50.117578048871515,0.530831654387815
-75.1169,5.4721,train,0.0019818331252941064,36.2372321232099,0.4690100036960056
-76.5886,3.8818,train,0.002170395838255367,41.637751370233445,0.49169282547650844
-76.4763,4.0109,train,0.0021552103470087536,40.77214661928844,0.48993811024976347
-75.1251,6.9862,train,0.0013926853664716192,19.769820686472425,0.38298263496131657
-75.15,7.07,train,0.0012261981651096497,14.799385679423505,0.35337816505433617
-76.654,3.3306,train,0.001321692185987647,17.595930266008033,0.3706968586699097
-76.5833,3.6833,train,0.001586687712592489,24.83159412415943,0.4142331953197014
-76.1939,3.8609,train,0.001331855901570141,18.045537773891887,0.3724856708119596
-75.0994,6.8178,train,0.0012489300014200296,15.503242163219321,0.3575866726139293
-76.1368,4.5529,train,0.0012644471199523399,16.04841189781637,0.3604281463523021
-75.5409,4.9516,train,0.0020789284406145634,39.291229638704415,0.48093706140184206
-76.2417,6.5866,train,0.00201444083407528,36.83309058095329,0.4730761515052162
-76.9149,2.519,train,0.0022294160073407236,42.96387599225048,0.49839959300394654
-76.0833,5.04,train,0.0032925368227320847,70.67761827924498,0.5947210839495415
-75.4967,4.763,train,0.00478131221201147,99.5103023736146,0.6806093871999859
-75.8846,5.5046,train,0.0025107824783595074,49.61040050584146,0.5280836933969854
-75.4827,5.1038,train,0.0032880864424347706,70.34851648440406,0.594395034792579
-75.4007,7.0598,train,0.0016147810056067174,25.633021483276384,0.41849807950953344
-77.064,2.5077,train,0.0012160961401801917,14.309473543685076,0.3514901560636681
-76.2555,4.5653,train,0.0017287915872600678,28.803140384971044,0.4351870536337864
-75.897,4.2254,train,0.001659227627326261,27.10225789669338,0.42512017835675825
-76.169,3.623,train,0.0012241733327113852,14.545477910768437,0.3530006172083148
-76.0764,4.0107,train,0.0015713845541072947,24.357677878886502,0.4118835742632936
-74.2564,4.2777,train,0.0039840078205882,89.73478814160434,0.6397195178638283
-74.1493,4.7303,train,0.0029788387975698345,62.613471039087216,0.5703776794315228
-74.2045,4.603,train,0.0030449577150523663,65.01780799760193,0.5757487930747248
-74.3703,3.7925,train,0.004321579448446935,95.49319936344634,0.6582442196684793
-74.1174,4.3766,train,0.003507340009709087,78.50169614728028,0.6098582925402523
-74.1918,3.9442,train,0.00434737684623593,96.36081989848391,0.65958184095599
-74.0895,3.9689,train,0.003854128280710095,86.60112793510494,0.6320458343362033
-74.2773,4.6915,train,0.002979775777156257,63.20678257483699,0.5704547439690484
-74.2025,4.3434,train,0.003653905030492137,82.44722036286632,0.6195538893388362
-74.2535,4.1021,train,0.004439033217456678,98.11829974092625,0.6642507892242963
-75.0444,5.5234,train,0.0013372855027918534,18.263470248143925,0.3734371185281528
-72.9201,5.5898,train,0.003655272312949789,82.81350962579896,0.6196420698373155
-72.9353,5.4908,train,0.00376880880138099,83.9255022465957,0.6268244728772059
-72.7928,5.6338,train,0.003813292857520095,85.06412334185492,0.6295651511398782
-72.5441,5.8511,train,0.004069223997027794,91.74855115686735,0.6445828048479436
-73.769,5.461,train,0.00289977229306546,59.96987929512613,0.5637734808541476
-72.7133,5.861,train,0.0037007176134679336,83.54860796397176,0.6225499042948508
-72.7341,5.7451,train,0.003990675771899426,90.1336832958064,0.6401048523070441
-74.0221,4.8711,train,0.003082745340672983,66.5496131265142,0.578758557230539
-72.2593,6.4649,train,0.00489706983724444,99.99999931148467,0.6857869415919658
-73.8528,5.2463,train,0.0036413601458470165,82.08197879230396,0.6187429162813863
