x,y,species cloglog values
1.0,1.0,0.5039655
2.0,2.0,0.35799158
3.0,3.0,0.36756647
4.0,4.0,0.70996886
5.0,5.0,0.5008884
6.0,6.0,0.46015072
7.0,7.0,0.45294628
8.0,8.0,0.5541474
9.0,9.0,0.7316129
10.0,10.0,0.61145073
11.0,11.0,0.4132582
12.0,12.0,0.4516534
13.0,13.0,0.7606562
14.0,14.0,0.3543336
15.0,15.0,0.5486286
16.0,16.0,0.84559715
17.0,17.0,0.6469207
18.0,18.0,0.6681213
19.0,19.0,0.69946915
20.0,20.0,0.42843446
21.0,21.0,0.45959935
22.0,22.0,0.5104578
23.0,23.0,0.4007225
24.0,24.0,0.50248235
25.0,25.0,0.73557824
26.0,26.0,0.5022616
27.0,27.0,0.54758435
28.0,28.0,0.73814017
29.0,29.0,0.39633855
30.0,30.0,0.36216867
31.0,31.0,0.47978044
32.0,32.0,0.7255632
33.0,33.0,0.66014045
34.0,34.0,0.5084484
35.0,35.0,0.38593194
36.0,36.0,0.47784245
37.0,37.0,0.84455764
38.0,38.0,0.5016092
39.0,39.0,0.55100054
40.0,40.0,0.38869372
41.0,41.0,0.3573999
42.0,42.0,0.45447078
43.0,43.0,0.41149843
44.0,44.0,0.67871803
45.0,45.0,0.57821155
46.0,46.0,0.6117604
47.0,47.0,0.6875717
48.0,48.0,0.56072164
49.0,49.0,0.5147406
50.0,50.0,0.43890905
51.0,51.0,0.3537604
52.0,52.0,0.746
53.0,53.0,0.3591727
54.0,54.0,0.65796
55.0,55.0,0.4727271
56.0,56.0,0.52926916
57.0,57.0,0.35350877
58.0,58.0,0.34984267
59.0,59.0,0.59984785
60.0,60.0,0.59083444
61.0,61.0,0.97290313
62.0,62.0,0.8644084
63.0,63.0,0.8483625
