X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.0057781345441325176,38.92774728334528,0.6186861751036103
2.0,2.0,train,0.006507661517797434,72.75015231299848,0.6623888689736197
3.0,3.0,train,0.006009540953680301,54.222636757703754,0.6331289113379855
4.0,4.0,train,0.005449417529624806,19.320232128757066,0.5971871557553914
5.0,5.0,train,0.006041264101893172,58.43903265795806,0.6350657344140807
6.0,6.0,train,0.0057781345441325176,38.92774728334528,0.6186861751036103
7.0,7.0,train,0.0059296590213936155,47.048699632428644,0.6282061507072567
8.0,8.0,train,0.006009540953680301,54.222636757703754,0.6331289113379855
9.0,9.0,train,0.006482015480259677,70.15290127261918,0.6609410452438977
10.0,10.0,train,0.0058739877141465125,46.45568615367467,0.6247363749083006
11.0,11.0,train,0.006507661517797434,72.75015231299848,0.6623888689736197
12.0,12.0,train,0.0059296590213936155,47.048699632428644,0.6282061507072567
13.0,13.0,train,0.006009540953680301,54.222636757703754,0.6331289113379855
14.0,14.0,train,0.0057781345441325176,38.92774728334528,0.6186861751036103
15.0,15.0,train,0.006017456089520536,54.82401279766586,0.633613121836794
16.0,16.0,train,0.006049221020130651,63.877523612611704,0.6355499294871088
17.0,17.0,train,0.006507661517797434,72.75015231299848,0.6623888689736197
18.0,18.0,train,0.006507661517797434,72.75015231299848,0.6623888689736197
19.0,19.0,train,0.00554103304114862,26.487563443481225,0.603298069435888
20.0,20.0,train,0.006507661517797434,72.75015231299848,0.6623888689736197
21.0,21.0,train,0.00554103304114862,26.487563443481225,0.603298069435888
22.0,22.0,train,0.00520863706863257,13.447839732971437,0.5806741155416606
23.0,23.0,train,0.005456594929750638,20.413301656429656,0.5976692806239425
24.0,24.0,train,0.00527186214630891,15.017026967585352,0.58507460844757
25.0,25.0,train,0.005449417529624806,19.320232128757066,0.5971871557553914
26.0,26.0,train,0.005340538872208276,16.609355061835487,0.5898022300661533
