Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.21023E-3,0.221023136,0.349842676,1,0,0
2.23926E-3,0.4449492,0.353508774,0.995145631,0,0
2.24126E-3,0.669075109,0.353760397,0.990291262,0,0
2.24581E-3,0.893656571,0.354333609,0.985436893,0,0
2.27025E-3,1.120681828,0.357399921,0.980582524,0,0
2.27498E-3,1.348179974,0.357991587,0.975728155,0,0
2.28443E-3,1.576623435,0.359172707,0.970873786,0,0
2.30849E-3,1.807472569,0.362168676,0.966019417,0,0
2.35212E-3,2.042684632,0.367566472,0.961165049,0,0
2.5034E-3,2.293025117,0.385931928,0.95631068,0,0
2.52655E-3,2.54567968,0.388693731,0.951456311,0,0
2.59115E-3,2.804794681,0.396338559,0.946601942,0,0
2.62857E-3,3.067651454,0.40072251,0.941747573,0,0
2.72172E-3,3.339823256,0.411498436,0.936893204,0,0
2.73709E-3,3.61353244,0.413258206,0.932038835,0,0
2.87162E-3,3.900694613,0.428434456,0.927184466,0,0
2.96657E-3,4.197352011,0.438909064,0.922330097,0,0
3.08452E-3,4.505804106,0.4516534,0.917475728,0,0
3.09664E-3,4.815468009,0.452946265,0.912621359,0,0
3.11097E-3,5.126564523,0.454470771,0.90776699,0,0
3.15945E-3,5.442510019,0.459599336,0.902912621,0,0
3.1647E-3,5.75897957,0.460150711,0.898058252,0,0
3.2857E-3,6.08754994,0.472727088,0.893203883,0,0
3.33575E-3,6.421125026,0.477842448,0.888349515,0,0
3.35484E-3,6.756608983,0.479780422,0.883495146,0,0
3.4698E-3,7.103588902,0.491300491,0.878640777,0,0
3.56748E-3,7.460336968,0.500888421,0.873786408,0.00591716,0
3.5749E-3,7.817826963,0.501609235,0.868932039,0.01183432,0
3.58162E-3,8.175989314,0.502261557,0.86407767,0.01183432,0
3.5839E-3,8.534379472,0.502482382,0.859223301,0.01183432,0
3.58901E-3,8.893280183,0.502976931,0.854368932,0.01183432,0
3.59923E-3,9.971004379,0.503965483,0.839805825,0.029585799,0
3.63886E-3,10.334890244,0.507780067,0.834951456,0.029585799,0
3.64583E-3,10.699473632,0.50844841,0.830097087,0.035502959,0
3.66686E-3,11.06615989,0.510457823,0.825242718,0.035502959,0
3.69987E-3,11.436146435,0.513594885,0.82038835,0.035502959,0
3.69987E-3,11.806132979,0.513594885,0.810679612,0.035502959,0
3.71197E-3,12.177330116,0.514740558,0.810679612,0.047337278,0
3.72647E-3,12.549977192,0.516109192,0.805825243,0.047337278,0
3.73383E-3,12.92336003,0.516802219,0.800970874,0.053254438,0
3.75202E-3,13.298562263,0.51851168,0.796116505,0.059171598,0
3.76662E-3,13.675223995,0.51987862,0.791262136,0.065088757,0
3.78308E-3,16.313502501,0.521415929,0.757281553,0.106508876,0
3.78308E-3,17.070118723,0.521415929,0.742718447,0.106508876,0
3.86802E-3,17.45692063,0.529269169,0.742718447,0.124260355,0
4.03911E-3,17.86083144,0.544698771,0.737864078,0.124260355,0
4.07175E-3,21.095381802,0.547584326,0.699029126,0.171597633,0
4.08361E-3,21.503742827,0.548628615,0.694174757,0.171597633,0
4.11066E-3,21.914808605,0.551000506,0.689320388,0.171597633,0
4.14676E-3,22.329485065,0.554147424,0.684466019,0.171597633,0
4.14677E-3,22.744162302,0.554148099,0.67961165,0.171597633,0
4.1938E-3,23.578219389,0.558213644,0.669902913,0.183431953,0
4.22302E-3,24.419901707,0.560721634,0.660194175,0.195266272,0
4.28057E-3,24.847958896,0.565618393,0.655339806,0.207100592,0
4.32175E-3,25.28013409,0.569088911,0.650485437,0.213017751,0
4.37381E-3,25.717515448,0.573436835,0.645631068,0.218934911,0
4.42511E-3,32.283365009,0.577677564,0.572815534,0.307692308,0
4.4316E-3,32.726525065,0.578211555,0.567961165,0.313609467,0
4.50998E-3,33.177523329,0.584602674,0.563106796,0.313609467,0
4.51264E-3,34.530784073,0.58481782,0.548543689,0.331360947,0
4.58758E-3,35.44080635,0.590834459,0.538834951,0.343195266,0
4.59957E-3,35.900763643,0.591789171,0.533980583,0.343195266,0
4.63251E-3,44.643246165,0.594400044,0.441747573,0.455621302,0
4.70193E-3,46.966444312,0.599847853,0.417475728,0.485207101,0
4.85299E-3,47.451743077,0.611450729,0.412621359,0.485207101,0
4.85708E-3,47.93745114,0.611760392,0.40776699,0.485207101,0
5.0543E-3,48.442881574,0.62639294,0.402912621,0.485207101,0
5.19166E-3,54.521781941,0.636256386,0.344660194,0.556213018,0
5.29888E-3,56.090001257,0.643775067,0.330097087,0.573964497,0
5.34441E-3,58.743995211,0.646920682,0.305825243,0.603550296,0
5.39827E-3,59.283822403,0.650605516,0.300970874,0.603550296,0
5.45332E-3,60.368981937,0.654332311,0.291262136,0.615384615,0
5.49656E-3,64.190631967,0.657231364,0.257281553,0.656804734,0
5.49656E-3,65.28994391,0.657231364,0.242718447,0.656804734,0
5.50748E-3,65.84069229,0.657959984,0.242718447,0.674556213,0
5.519E-3,66.392592324,0.658726442,0.237864078,0.674556213,0
5.54032E-3,69.706124009,0.660140474,0.208737864,0.710059172,0
5.61297E-3,70.267420642,0.664916311,0.203883495,0.710059172,0
5.61371E-3,72.512681189,0.664964618,0.184466019,0.733727811,0
5.61371E-3,78.126387661,0.664964618,0.131067961,0.733727811,0
5.6623E-3,78.692618072,0.668121283,0.131067961,0.798816568,0
5.82889E-3,79.275507331,0.678718054,0.126213592,0.798816568,0
5.97235E-3,79.872742041,0.687571725,0.121359223,0.810650888,0
6.17166E-3,80.489907751,0.699469144,0.116504854,0.810650888,0
6.35422E-3,81.125329719,0.709968875,0.111650485,0.810650888,0
6.61629E-3,81.786958652,0.724403312,0.106796117,0.810650888,0
6.63794E-3,82.450752731,0.725563217,0.101941748,0.816568047,0
6.6541E-3,83.1161631,0.726425908,0.097087379,0.816568047,0
6.75237E-3,85.122221049,0.731612899,0.082524272,0.834319527,0
6.82879E-3,85.805099665,0.735578266,0.077669903,0.940828402,0
6.87877E-3,86.492976366,0.738140183,0.072815534,0.940828402,0
7.03521E-3,87.196497789,0.746000003,0.067961165,0.940828402,0
7.34032E-3,87.930529861,0.760656158,0.063106796,0.940828402,0
8.98232E-3,88.828762111,0.826175134,0.058252427,0.940828402,0
8.98232E-3,91.523458861,0.826175134,0.038834951,0.940828402,0
9.05135E-3,92.428593511,0.828496653,0.038834951,0.964497041,0
9.55612E-3,95.194475207,0.844557652,0.024271845,0.982248521,0
9.59057E-3,96.153532106,0.845597133,0.019417476,0.982248521,0
9.68335E-3,97.121866719,0.848362511,0.014563107,0.982248521,0
1.02575E-2,98.147618292,0.86440837,0.009708738,0.982248521,0
1.85238E-2,100,0.972903146,0.004854369,0.982248521,0
