"occ.ID","species","lon","lat"
1,"Chlorochrysa nitidissima",-76.5972,3.5895
2,"Chlorochrysa nitidissima",-76.5854,3.5665
3,"Chlorochrysa nitidissima",-76.6062,3.5388
4,"Chlorochrysa nitidissima",-76.08,5.1832
5,"Chlorochrysa nitidissima",-76.617,3.5238
6,"Chlorochrysa nitidissima",-75.5716,4.7255
8,"Chlorochrysa nitidissima",-75.952,5.2037
9,"Chlorochrysa nitidissima",-76.4311,3.8687
10,"Chlorochrysa nitidissima",-76.6333,3.5
11,"Chlorochrysa nitidissima",-75.891,5.3731
12,"Chlorochrysa nitidissima",-76.6122,3.5324
13,"Chlorochrysa nitidissima",-76.108,5.2433
14,"Chlorochrysa nitidissima",-76.296,4.7415
15,"Chlorochrysa nitidissima",-75.9787,5.1698
16,"Chlorochrysa nitidissima",-75.6321,4.6302
17,"Chlorochrysa nitidissima",-75.1169,5.4721
18,"Chlorochrysa nitidissima",-75.5359,4.7021
19,"Chlorochrysa nitidissima",-76.1766,4.822
20,"Chlorochrysa nitidissima",-75.9575,5.1918
21,"Chlorochrysa nitidissima",-76.1105,5.1799
22,"Chlorochrysa nitidissima",-76.5886,3.8818
23,"Chlorochrysa nitidissima",-76.563,3.9414
24,"Chlorochrysa nitidissima",-76.4763,4.0109
25,"Chlorochrysa nitidissima",-76.6603,3.423
26,"Chlorochrysa nitidissima",-75.6283,4.6717
27,"Chlorochrysa nitidissima",-76.6178,3.4853
28,"Chlorochrysa nitidissima",-75.6075,4.6738
29,"Chlorochrysa nitidissima",-75.1251,6.9862
30,"Chlorochrysa nitidissima",-75.6226,4.771
31,"Chlorochrysa nitidissima",-76.6591,3.461
32,"Chlorochrysa nitidissima",-75.1342,6.9794
33,"Chlorochrysa nitidissima",-75.15,7.07
34,"Chlorochrysa nitidissima",-76.654,3.3306
35,"Chlorochrysa nitidissima",-76.5833,3.6833
36,"Chlorochrysa nitidissima",-76.6167,3.4333
37,"Chlorochrysa nitidissima",-76.1939,3.8609
38,"Chlorochrysa nitidissima",-76.4363,3.8754
40,"Chlorochrysa nitidissima",-75.0994,6.8178
42,"Chlorochrysa nitidissima",-76.2891,4.7504
43,"Chlorochrysa nitidissima",-76.1368,4.5529
44,"Chlorochrysa nitidissima",-75.6166,4.6738
45,"Chlorochrysa nitidissima",-76.4991,4.0161
46,"Chlorochrysa nitidissima",-76.6408,3.8939
47,"Chlorochrysa nitidissima",-76.5622,3.9314
48,"Chlorochrysa nitidissima",-75.1086,6.8289
49,"Chlorochrysa nitidissima",-75.5409,4.9516
50,"Chlorochrysa nitidissima",-75.0347,6.9219
52,"Chlorochrysa nitidissima",-76.2417,6.5866
54,"Chlorochrysa nitidissima",-75.1562,7.0825
55,"Chlorochrysa nitidissima",-76.9149,2.519
56,"Chlorochrysa nitidissima",-75.5418,4.7587
57,"Chlorochrysa nitidissima",-76.0833,5.04
58,"Chlorochrysa nitidissima",-76.1,5.2
59,"Chlorochrysa nitidissima",-75.4967,4.763
60,"Chlorochrysa nitidissima",-75.5447,4.7256
61,"Chlorochrysa nitidissima",-75.6614,4.6144
62,"Chlorochrysa nitidissima",-76.1421,5.1926
63,"Chlorochrysa nitidissima",-76.5935,3.5625
64,"Chlorochrysa nitidissima",-76.4575,4.0489
67,"Chlorochrysa nitidissima",-76.9167,2.5833
68,"Chlorochrysa nitidissima",-76.5813,3.5748
69,"Chlorochrysa nitidissima",-75.1146,6.9801
71,"Chlorochrysa nitidissima",-75.5639,4.7198
73,"Chlorochrysa nitidissima",-75.495,4.7112
74,"Chlorochrysa nitidissima",-76.5721,3.5798
75,"Chlorochrysa nitidissima",-76.6041,3.5629
76,"Chlorochrysa nitidissima",-75.0954,6.8707
77,"Chlorochrysa nitidissima",-76.0082,5.1303
78,"Chlorochrysa nitidissima",-76.07,5.1917
79,"Chlorochrysa nitidissima",-75.6115,4.7582
80,"Chlorochrysa nitidissima",-75.1877,7.0873
83,"Chlorochrysa nitidissima",-75.1087,6.8678
85,"Chlorochrysa nitidissima",-75.9956,5.1533
86,"Chlorochrysa nitidissima",-76.585,3.5378
88,"Chlorochrysa nitidissima",-76.5635,3.8809
89,"Chlorochrysa nitidissima",-76.6496,3.4085
90,"Chlorochrysa nitidissima",-76.6184,3.5423
92,"Chlorochrysa nitidissima",-75.8925,5.2947
93,"Chlorochrysa nitidissima",-76.6194,3.8992
94,"Chlorochrysa nitidissima",-76.6346,3.3754
95,"Chlorochrysa nitidissima",-76.0004,5.1803
96,"Chlorochrysa nitidissima",-75.8846,5.5046
97,"Chlorochrysa nitidissima",-76.5763,3.5601
98,"Chlorochrysa nitidissima",-76.0823,5.2317
99,"Chlorochrysa nitidissima",-76.6281,3.491
100,"Chlorochrysa nitidissima",-76.64,3.4642
101,"Chlorochrysa nitidissima",-75.4827,5.1038
103,"Chlorochrysa nitidissima",-75.9094,5.2875
104,"Chlorochrysa nitidissima",-76.1864,4.5643
105,"Chlorochrysa nitidissima",-76.1718,4.8102
106,"Chlorochrysa nitidissima",-76.6207,3.5045
107,"Chlorochrysa nitidissima",-76.0394,5.1715
108,"Chlorochrysa nitidissima",-75.4007,7.0598
110,"Chlorochrysa nitidissima",-75.8966,5.3971
111,"Chlorochrysa nitidissima",-76.0205,5.1737
112,"Chlorochrysa nitidissima",-75.1405,6.9859
113,"Chlorochrysa nitidissima",-75.5143,5.0553
114,"Chlorochrysa nitidissima",-77.064,2.5077
117,"Chlorochrysa nitidissima",-76.6386,3.315
118,"Chlorochrysa nitidissima",-76.6017,3.8881
