_id,species,taxonomicStatus,acceptedNameUsage,scientificNameAuthorship,kingdom,phylum,class,order,family,genus,specificEpithet,nameAccordingTo,taxVerifSource,sppInCol,recordsVisualizationPrivileges,speciesInCountry,validName,bmClass,invasive,endemic,iucn,cites,amenazaNacional,taxID,migratoryType,iucnSpeciesID,uploadUser,uploadDate
ObjectId(5925c7ac875e0e140c003033),Abarema barbouriana,pending,Abarema barbouriana,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Abarema,barbouriana,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,false,NE,,NE,1,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925ca36875e0e140c00373d),Abelmoschus moschatus,pending,Abelmoschus moschatus,,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,Abelmoschus,moschatus,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,false,NE,,NE,5,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925c7ad875e0e140c003037),Acacia farnesiana,pending,Vachellia farnesiana,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Vachellia,farnesiana,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,false,NE,,NE,10,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925c812875e0e140c00314b),Acacia polyphylla,pending,Senegalia polyphylla,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Senegalia,polyphylla,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,false,NE,,NE,11,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925c7ae875e0e140c003039),Acacia macracantha,pending,Vachellia macracantha,Humb. & Bonpl. ex Willd.,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Vachellia,macracantha,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,false,NE,,NE,12,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925c7ae875e0e140c00303a),Acacia tenuifolia,pending,Senegalia tenuifolia,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Senegalia,tenuifolia,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,false,NE,,NE,13,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925cdfa875e0e140c004085),Acaena cylindristachya,pending,Acaena cylindristachya,,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Acaena,cylindristachya,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,false,NE,,NE,14,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925cdfa875e0e140c004086),Acaena elongata,pending,Acaena elongata,,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Acaena,elongata,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,false,NE,,NE,15,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925c9df875e0e140c003654),Acalypha padifolia,pending,Acalypha padifolia,,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Acalypha,padifolia,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,false,NE,,NE,20,,45171,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925cc89875e0e140c003d4d),Aciachne acicularis,pending,Aciachne acicularis,,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Aciachne,acicularis,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,false,NE,,NE,34,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
