Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
3.88424E-4,0.038842397,0.094118862,1,0,0
3.9413E-4,0.07825537,0.095369566,0.996865204,0,0
4.02146E-4,0.118469954,0.097120879,0.993730408,0,0
4.125E-4,0.240516252,0.099373042,0.984326019,0,0
4.1558E-4,0.323477761,0.100040776,0.978056426,0,0
4.2851E-4,0.408122743,0.102833271,0.971786834,0,0
4.44962E-4,0.539374336,0.106361468,0.962382445,0,0
4.78458E-4,0.633361945,0.11345972,0.956112853,0,0
4.80418E-4,0.729444637,0.113871648,0.94984326,0,0
4.87267E-4,0.778171346,0.115307803,0.946708464,0,0
4.88436E-4,0.827014929,0.115552416,0.943573668,0,0
5.46626E-4,0.931954953,0.127562702,0.937304075,0,0
5.52881E-4,1.042019694,0.128834349,0.931034483,0,0
5.75635E-4,1.155307471,0.133429164,0.92476489,0,0
5.82691E-4,1.213576527,0.134844054,0.921630094,0,0
5.9701E-4,1.331953752,0.137701544,0.915360502,0,0
6.00241E-4,1.451984322,0.138343627,0.909090909,0,0
6.31967E-4,1.515181001,0.144598469,0.905956113,0,0
6.54983E-4,1.772141353,0.1490796,0.893416928,0,0
7.24703E-4,2.053416269,0.162371905,0.880877743,0,0
7.8256E-4,2.283836823,0.173091063,0.871473354,0,0
8.17661E-4,2.527672569,0.179461678,0.862068966,0,0
8.78288E-4,2.789121228,0.19023676,0.852664577,0,0
9.04195E-4,3.058113679,0.194755382,0.843260188,0,0
9.79362E-4,3.338698352,0.207584743,0.833855799,0,0
1.00248E-3,3.537459773,0.211447926,0.827586207,0,0
1.05945E-3,3.846038506,0.220811476,0.818181818,0,0
1.08981E-3,4.063806434,0.225711593,0.811912226,0,0
1.12013E-3,4.287079101,0.230542626,0.805642633,0,0
1.16976E-3,4.51939777,0.238323963,0.799373041,0,0
1.19877E-3,4.756786095,0.242798609,0.793103448,0.03030303,0
1.2467E-3,5.005897307,0.25007871,0.786833856,0.03030303,0
1.29118E-3,5.263969832,0.256710479,0.780564263,0.03030303,0
1.32599E-3,5.52616174,0.261818994,0.774294671,0.03030303,0
1.36179E-3,5.796110687,0.267001284,0.768025078,0.03030303,0
1.40153E-3,6.07594674,0.272668185,0.761755486,0.03030303,0
1.42382E-3,6.359243585,0.275808256,0.755485893,0.03030303,0
1.43459E-3,6.502702921,0.277316807,0.752351097,0.03030303,0
1.49298E-3,6.79819638,0.285382638,0.746081505,0.03030303,0
1.50928E-3,7.098773586,0.287602106,0.739811912,0.03030303,0
1.55848E-3,7.254621267,0.294218527,0.736677116,0.03030303,0
1.65339E-3,7.576646822,0.306642558,0.730407524,0.03030303,0
1.66423E-3,7.909109749,0.308033364,0.724137931,0.03030303,0
