Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
6.23561E-4,0.062356067,0.14875562,1,0,0
6.30445E-4,0.125400589,0.150151384,0.996865204,0,0
6.4046E-4,0.25345415,0.152173671,0.990595611,0,0
6.44093E-4,0.317863441,0.152904808,0.987460815,0,0
6.54283E-4,0.448536707,0.15494903,0.981191223,0,0
6.56122E-4,0.514148952,0.155317022,0.978056426,0,0
6.71441E-4,0.647185755,0.158369012,0.971786834,0,0
6.76622E-4,0.714847932,0.159396127,0.968652038,0,0
6.78703E-4,0.782718256,0.159808112,0.965517241,0,0
6.90799E-4,0.851798133,0.162194202,0.962382445,0,0
7.09986E-4,0.922796738,0.165951611,0.959247649,0,0
7.31929E-4,1.068958753,0.170207482,0.952978056,0,0
7.31944E-4,1.142153135,0.170210418,0.94984326,0,0
7.39806E-4,1.216133746,0.171724789,0.946708464,0,0
7.57532E-4,1.366002353,0.175118822,0.940438871,0,0
8.06888E-4,1.446691137,0.184424201,0.937304075,0,0
8.0822E-4,1.527513177,0.184672529,0.934169279,0,0
8.39154E-4,1.774689541,0.190394892,0.92476489,0,0
8.62542E-4,2.03076709,0.194668328,0.915360502,0,0
9.00523E-4,2.294034122,0.201512971,0.905956113,0,0
9.1455E-4,2.566232975,0.204011478,0.896551724,0,0
9.57899E-4,2.754571036,0.211634961,0.890282132,0,0
9.99063E-4,3.049382424,0.218740294,0.880877743,0,0
1.04878E-3,3.256744934,0.227152234,0.87460815,0,0
1.09061E-3,3.580270454,0.234091492,0.865203762,0,0
1.14216E-3,3.804004429,0.242473923,0.858934169,0,0
1.15678E-3,4.034780505,0.244818089,0.852664577,0,0
1.17412E-3,4.269091183,0.247578376,0.846394984,0,0
1.18312E-3,4.50564855,0.249004252,0.840125392,0,0
1.2573E-3,4.751411636,0.260549102,0.833855799,0,0
1.28003E-3,5.005682823,0.264015261,0.827586207,0,0
1.29962E-3,5.263659573,0.266977537,0.821316614,0,0
1.36173E-3,5.533302368,0.276212766,0.815047022,0,0
1.38526E-3,5.808188285,0.279650315,0.808777429,0,0
1.42461E-3,6.089987424,0.285327659,0.802507837,0,0
1.4667E-3,6.381114678,0.291301624,0.796238245,0,0
1.50973E-3,6.532087459,0.297306788,0.793103448,0,0
