Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
7.28263E-5,0.007282631,0.006744148,1,0,0
8.01502E-5,0.015297648,0.00741735,0.994897959,0,0
8.15588E-5,0.031496528,0.007546729,0.984693878,0,0
8.89824E-5,0.066338001,0.008227984,0.964285714,0,0
9.84442E-5,0.113223254,0.009094939,0.93877551,0,0
1.29867E-4,0.208867852,0.011963256,0.897959184,0,0
1.64877E-4,0.314955443,0.015139555,0.862244898,0,0
1.84648E-4,0.402232838,0.016924201,0.836734694,0,0
2.18645E-4,0.506317365,0.019978035,0.81122449,0,0
3.10874E-4,0.615002736,0.028167812,0.790816327,0,0
3.42734E-4,0.71433458,0.03096521,0.775510204,0,0
3.62385E-4,0.750573067,0.032682608,0.770408163,0,0
3.7393E-4,0.82458533,0.033688726,0.760204082,0,0
4.42007E-4,0.909440599,0.039579308,0.75,0,0
4.65724E-4,1.001384074,0.041614681,0.739795918,0,0
4.87306E-4,1.145559568,0.043459324,0.724489796,0,0
5.76025E-4,1.203162026,0.050968214,0.719387755,0,0
6.04822E-4,1.322874998,0.053380254,0.709183673,0,0
6.36166E-4,1.449556434,0.055991738,0.698979592,0,0
6.45095E-4,1.514065948,0.056733038,0.693877551,0,0
7.32588E-4,1.799207069,0.063935657,0.673469388,0,0
7.74592E-4,2.027065455,0.067354566,0.658163265,0,0
8.91994E-4,2.282079589,0.076779485,0.642857143,0,0
1.05255E-3,2.574979536,0.089364834,0.62755102,0,0
1.07667E-3,2.788453211,0.091225245,0.617346939,0,0
1.16854E-3,3.018948987,0.098244959,0.607142857,0,0
1.18494E-3,3.255114583,0.099486713,0.596938776,0,0
1.26605E-3,3.502506522,0.105577346,0.586734694,0,0
1.34331E-3,3.765667616,0.111303264,0.576530612,0,0
1.41786E-3,4.04343297,0.116758895,0.566326531,0,0
1.56863E-3,4.352845663,0.127590218,0.556122449,0,0
1.62992E-3,4.515837434,0.131918004,0.551020408,0,0
1.90662E-3,4.877342065,0.150933081,0.540816327,0,0
1.90995E-3,5.068336859,0.151156492,0.535714286,0,0
1.9537E-3,5.263706951,0.154085627,0.530612245,0,0
2.2459E-3,5.68954032,0.17314096,0.520408163,0,0
2.26555E-3,5.916095496,0.174391657,0.515306122,0,0
2.50209E-3,6.166304813,0.189155402,0.510204082,0,0
2.53721E-3,6.420026003,0.191302442,0.505102041,0,0
2.60894E-3,6.680919505,0.195652218,0.5,0,0
2.64555E-3,6.945474841,0.197855007,0.494897959,0,0
2.87131E-3,7.232605414,0.211173176,0.489795918,0,0
2.91161E-3,7.523766077,0.213504327,0.484693878,0,0
3.03065E-3,7.826831107,0.220310484,0.479591837,0,0
3.21E-3,8.147831476,0.230345196,0.474489796,0,0
3.33543E-3,8.481374607,0.237210684,0.469387755,0,0
3.4059E-3,8.821964609,0.241014435,0.464285714,0,0
3.53282E-3,9.175246769,0.247770549,0.459183673,0,0
3.57617E-3,9.532863896,0.250050607,0.454081633,0,0
3.62637E-3,9.895500445,0.252673457,0.448979592,0,0
3.66447E-3,10.261947739,0.254652508,0.443877551,0,0
3.67726E-3,10.629674159,0.255314454,0.43877551,0,0
3.78781E-3,11.008455011,0.260986495,0.433673469,0,0
3.84097E-3,11.771333182,0.263683723,0.423469388,0,0
3.8611E-3,12.157443361,0.264699784,0.418367347,0,0
3.90168E-3,12.547610956,0.266739409,0.413265306,0,0
3.9153E-3,12.939140476,0.267421502,0.408163265,0,0
4.10388E-3,13.349528115,0.27673743,0.403061224,0,0
4.18329E-3,13.767856665,0.280589735,0.397959184,0,0
4.31656E-3,14.199512231,0.286963542,0.392857143,0,0
4.35432E-3,14.634944523,0.288749321,0.387755102,0,0
4.36192E-3,15.071136116,0.289107267,0.382653061,0,0
4.66048E-3,15.537183725,0.302901817,0.37755102,0.05,0
4.74239E-3,16.011422284,0.306593241,0.37244898,0.1,0
4.75894E-3,16.487316226,0.307334531,0.367346939,0.1,0
4.80895E-3,16.968211074,0.309564367,0.362244898,0.15,0
4.86796E-3,17.455006767,0.31217708,0.357142857,0.15,0
4.88495E-3,17.943501677,0.312925778,0.352040816,0.15,0
4.92769E-3,18.436270624,0.314801791,0.346938776,0.15,0
4.94489E-3,18.930759638,0.315553896,0.341836735,0.15,0
5.0143E-3,19.43218917,0.318571963,0.336734694,0.15,0
5.16503E-3,19.948692458,0.325035939,0.331632653,0.15,0
5.31104E-3,20.479796508,0.331181227,0.326530612,0.2,0
5.33887E-3,21.013683804,0.332339986,0.321428571,0.2,0
5.48979E-3,21.562663283,0.338554103,0.316326531,0.2,0
5.50896E-3,22.113559038,0.339334852,0.31122449,0.2,0
5.53783E-3,22.667341757,0.340507614,0.306122449,0.2,0
5.56685E-3,23.224026568,0.341682334,0.301020408,0.25,0
5.87578E-3,23.811604886,0.353932951,0.295918367,0.25,0
6.02087E-3,24.413691497,0.359530143,0.290816327,0.25,0
6.08414E-3,25.022105101,0.361940796,0.285714286,0.25,0
6.20186E-3,25.642291376,0.36637835,0.280612245,0.25,0
6.37718E-3,26.280009375,0.372873474,0.275510204,0.25,0
6.46669E-3,26.926678217,0.376138487,0.270408163,0.25,0
6.47796E-3,27.574474713,0.376547413,0.265306122,0.25,0
6.55745E-3,28.23022003,0.379414793,0.260204082,0.25,0
6.63792E-3,28.894011706,0.38229062,0.255102041,0.25,0
7.01851E-3,29.595862587,0.395539807,0.25,0.25,0
7.14186E-3,30.310048741,0.399712854,0.244897959,0.25,0
7.19181E-3,31.029229497,0.401386194,0.239795918,0.25,0
7.2421E-3,31.753439782,0.403061835,0.234693878,0.25,0
7.72433E-3,32.525873145,0.41866415,0.229591837,0.25,0
7.77835E-3,33.303708457,0.420361269,0.224489796,0.25,0
8.153E-3,34.119008402,0.431864205,0.219387755,0.25,0
8.21002E-3,34.940010079,0.433574925,0.214285714,0.25,0
8.23867E-3,35.763877558,0.434430882,0.209183673,0.25,0
8.4421E-3,36.608087705,0.440433258,0.204081633,0.25,0
8.62046E-3,37.470133743,0.445592118,0.198979592,0.3,0
8.63549E-3,38.333683007,0.446022568,0.193877551,0.3,0
