X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-74.2564,4.2777,train,0.015106861480817533,64.12999726735495,0.5848010462150577
-74.1493,4.7303,train,0.004758939429049538,16.487299808364607,0.307334530690036
-72.9201,5.5898,train,0.011332499873589886,49.8730592323289,0.5137564111133436
-72.9353,5.4908,train,0.011961402711577026,54.587531172280435,0.5272354820951553
-72.7928,5.6338,train,0.012299533390040515,55.81755618135687,0.5341781587835129
-74.2045,4.603,train,0.004660476093442221,15.537177626922857,0.3029018170518639
-73.769,5.461,train,0.005165032875507389,19.948702917513867,0.32503593865203356
-74.3703,3.7925,train,0.02508197000965168,80.86946171568952,0.7004652047205665
-74.1174,4.3766,train,0.00844210146935375,36.60809480665161,0.44043325763654945
-72.7341,5.7451,train,0.015106861480817533,64.12999726735495,0.5848010462150577
-74.0221,4.8711,train,0.0055378271867848146,22.667287794064276,0.34050761439375843
-74.1918,3.9442,train,0.026566316911051612,83.5261616978283,0.7123877165729812
-74.0895,3.9689,train,0.011795839385991599,53.391665524745555,0.5237600203715699
-74.2773,4.6915,train,0.004361915932107781,15.070902644896412,0.28910726744608894
-74.2025,4.3434,train,0.00982380627608038,46.65325101160102,0.4780574761063657
-74.2535,4.1021,train,0.030380435398107194,89.50332520704221,0.7390744747488736
-73.8528,5.2463,train,0.011632567699224793,51.0361911057503,0.5202822559802541
-72.5441,5.8511,train,0.015318897449100779,67.17261744907323,0.5881813014455001
-72.7133,5.861,train,0.010868408102284616,48.739829338343746,0.5033062227478843
-72.2593,6.4649,train,0.0661942087967778,100.0,0.8605610657889917
