Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
4.94063E-6,0.000494063,0.000457542,1,0,0
6.01312E-6,0.001095375,0.000556807,0.994897959,0,0
7.50345E-6,0.002589579,0.000694714,0.984693878,0,0
8.83334E-6,0.005083856,0.000817743,0.969387755,0,0
1.3192E-5,0.010790108,0.001220752,0.943877551,0,0
2.10313E-5,0.025393869,0.001944767,0.903061224,0,0
3.10249E-5,0.052481288,0.002866225,0.852040816,0,0
7.81429E-5,0.102888926,0.007187926,0.806122449,0,0
1.42939E-4,0.206689767,0.013070239,0.760204082,0,0
2.2985E-4,0.319824105,0.020851655,0.729591837,0,0
2.9895E-4,0.401076912,0.026951318,0.714285714,0,0
3.58288E-4,0.535724977,0.032128978,0.693877551,0,0
3.97975E-4,0.61507523,0.035561324,0.683673469,0,0
5.21411E-4,0.707601237,0.046082707,0.673469388,0,0
5.32311E-4,0.760832379,0.047000814,0.668367347,0,0
5.87847E-4,0.819617095,0.051651106,0.663265306,0,0
6.59333E-4,0.947107501,0.057570579,0.653061224,0,0
6.69442E-4,1.014051684,0.058401711,0.647959184,0,0
7.00825E-4,1.151199719,0.060972599,0.637755102,0,0
7.12647E-4,1.22246446,0.061937484,0.632653061,0,0
7.14794E-4,1.365344236,0.062112459,0.62244898,0,0
7.17993E-4,1.43714351,0.062373079,0.617346939,0,0
7.49845E-4,1.51212803,0.0649604,0.612244898,0,0
8.00249E-4,1.750484443,0.069025578,0.596938776,0,0
1.04077E-3,2.034171279,0.087946917,0.581632653,0,0
1.18183E-3,2.362161847,0.098690426,0.566326531,0,0
1.31116E-3,2.615714619,0.108321061,0.556122449,0,0
1.40435E-3,2.888704918,0.115133142,0.545918367,0,0
1.40648E-3,3.029352566,0.115287378,0.540816327,0,0
1.74565E-3,3.372687452,0.139218705,0.530612245,0,0
2.0225E-3,3.574937001,0.157813117,0.525510204,0,0
2.0255E-3,3.777487008,0.158010517,0.520408163,0,0
2.16563E-3,4.205936665,0.167115037,0.510204082,0,0
2.21151E-3,4.427087772,0.170053729,0.505102041,0,0
2.29061E-3,4.656148515,0.175071029,0.5,0,0
2.34195E-3,4.890343683,0.178295594,0.494897959,0,0
2.37717E-3,5.128061092,0.180493121,0.489795918,0,0
2.78394E-3,5.406455158,0.205045149,0.484693878,0,0
2.84674E-3,5.691128829,0.208704975,0.479591837,0,0
2.87311E-3,5.97843969,0.21023193,0.474489796,0,0
3.05111E-3,6.283550344,0.220386024,0.469387755,0,0
3.33213E-3,6.616763764,0.2358966,0.464285714,0,0
3.34871E-3,6.951634742,0.236792192,0.459183673,0,0
3.41161E-3,7.292795613,0.240171662,0.454081633,0,0
3.63141E-3,7.655937007,0.251750029,0.448979592,0,0
3.92925E-3,8.048861928,0.266887062,0.443877551,0,0
3.9423E-3,8.443091618,0.267536202,0.43877551,0,0
3.99831E-3,8.842922344,0.270309778,0.433673469,0,0
4.04539E-3,9.247461556,0.272625173,0.428571429,0,0
4.08388E-3,9.655849611,0.274506953,0.423469388,0,0
4.30095E-3,10.085944948,0.284940404,0.418367347,0,0
4.35609E-3,10.521553959,0.287542895,0.413265306,0,0
4.38216E-3,10.959769771,0.288766738,0.408163265,0,0
4.40344E-3,11.400114231,0.289762983,0.403061224,0,0
4.46083E-3,11.846197419,0.292434958,0.397959184,0.05,0
4.54663E-3,12.300860318,0.296392418,0.392857143,0.05,0
4.56839E-3,12.757699565,0.297389248,0.387755102,0.05,0
4.66904E-3,13.224603773,0.301962788,0.382653061,0.05,0
4.8018E-3,13.704784169,0.307905225,0.37755102,0.05,0
4.80704E-3,14.185487955,0.308137423,0.37244898,0.05,0
4.85512E-3,14.670999946,0.310263276,0.367346939,0.05,0
4.90665E-3,15.161664664,0.312526999,0.362244898,0.05,0
4.91336E-3,15.653000989,0.312820958,0.357142857,0.1,0
5.16462E-3,16.169463,0.323640589,0.352040816,0.15,0
5.21242E-3,16.690704973,0.325660478,0.346938776,0.15,0
5.22248E-3,17.212953427,0.326084255,0.341836735,0.15,0
5.34002E-3,17.746955174,0.330993813,0.336734694,0.15,0
5.43698E-3,18.290652782,0.33499042,0.331632653,0.2,0
5.45699E-3,18.836352123,0.335809589,0.326530612,0.2,0
5.49151E-3,19.385502631,0.337217182,0.321428571,0.2,0
5.66255E-3,19.95175787,0.344106369,0.316326531,0.2,0
5.78513E-3,20.53027059,0.348955815,0.31122449,0.25,0
5.79085E-3,21.10935564,0.349180495,0.306122449,0.25,0
5.80269E-3,21.689624884,0.349644883,0.301020408,0.25,0
5.87994E-3,22.277618844,0.352657986,0.295918367,0.25,0
5.94159E-3,22.871777632,0.355042681,0.290816327,0.25,0
6.15258E-3,23.487035459,0.363072955,0.285714286,0.25,0
6.25465E-3,24.112500055,0.366886306,0.280612245,0.25,0
6.5625E-3,24.76875025,0.378116453,0.275510204,0.25,0
7.35291E-3,25.504041471,0.405204421,0.270408163,0.25,0
7.60798E-3,26.264839586,0.413449181,0.265306122,0.25,0
7.67696E-3,27.032535876,0.415639804,0.260204082,0.25,0
7.87243E-3,27.819778515,0.421759109,0.255102041,0.25,0
7.8736E-3,28.607138269,0.421795388,0.25,0.25,0
7.92185E-3,29.399323029,0.423286076,0.244897959,0.25,0
8.21961E-3,30.221283931,0.432318016,0.239795918,0.25,0
8.23665E-3,31.044948469,0.432826228,0.234693878,0.25,0
8.32851E-3,31.877799949,0.43555118,0.229591837,0.25,0
8.52668E-3,32.730467894,0.44134073,0.224489796,0.25,0
8.7878E-3,33.609247485,0.448790537,0.219387755,0.25,0
