Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
2.52681E-6,0.000252681,0.000221482,1,0,0
4.18297E-6,0.000670978,0.000366596,0.994897959,0,0
4.30583E-6,0.001101561,0.00037736,0.989795918,0,0
5.36301E-6,0.002612341,0.000469967,0.974489796,0,0
6.33955E-6,0.005028392,0.000555494,0.954081633,0,0
1.13575E-5,0.010964048,0.00099475,0.923469388,0,0
1.75172E-5,0.025794109,0.00153342,0.87244898,0,0
4.25574E-5,0.053416641,0.003717231,0.821428571,0,0
7.86777E-5,0.102884666,0.006850595,0.780612245,0,0
1.35346E-4,0.202129306,0.01172691,0.734693878,0,0
2.28735E-4,0.301740257,0.019659467,0.709183673,0,0
3.04695E-4,0.409642146,0.026018293,0.68877551,0,0
3.96043E-4,0.51297886,0.033556792,0.673469388,0,0
4.7572E-4,0.647153322,0.040037562,0.658163265,0,0
5.1634E-4,0.749409202,0.043308196,0.647959184,0,0
5.17362E-4,0.801145408,0.043390193,0.642857143,0,0
5.48335E-4,0.910009686,0.045868666,0.632653061,0,0
5.77272E-4,1.023904273,0.04817267,0.62244898,0,0
6.10812E-4,1.143421407,0.050829314,0.612244898,0,0
6.19463E-4,1.205367687,0.051512094,0.607142857,0,0
6.57058E-4,1.334444859,0.054468045,0.596938776,0,0
6.76602E-4,1.402105095,0.055997524,0.591836735,0,0
8.78589E-4,1.566146154,0.071518948,0.581632653,0,0
9.61067E-4,1.839984206,0.077711054,0.566326531,0,0
1.07729E-3,2.049671957,0.086297577,0.556122449,0,0
1.16576E-3,2.279211809,0.092727495,0.545918367,0,0
1.4497E-3,2.543879745,0.112766291,0.535714286,0,0
1.74262E-3,2.87225528,0.13253119,0.525510204,0,0
1.78671E-3,3.050926292,0.135430421,0.520408163,0,0
1.89436E-3,3.42798028,0.142428106,0.510204082,0,0
1.90391E-3,3.618371165,0.143043213,0.505102041,0,0
1.99003E-3,3.817373789,0.148552178,0.5,0,0
2.0453E-3,4.02190338,0.152050638,0.494897959,0,0
2.5359E-3,4.484900203,0.181889026,0.484693878,0,0
2.56548E-3,4.741447771,0.183620848,0.479591837,0,0
2.5665E-3,4.998097875,0.183680757,0.474489796,0,0
2.76317E-3,5.274414936,0.195011259,0.469387755,0,0
3.08507E-3,5.582922361,0.212893075,0.464285714,0,0
3.09344E-3,5.892266543,0.213347308,0.459183673,0,0
3.16471E-3,6.208737894,0.217195137,0.454081633,0,0
3.29237E-3,6.537974759,0.223993733,0.448979592,0,0
3.61709E-3,6.899683354,0.240766632,0.443877551,0,0
3.64027E-3,7.263710023,0.241936321,0.43877551,0,0
3.65259E-3,7.628968746,0.242556544,0.433673469,0,0
3.69252E-3,7.99822059,0.244559747,0.428571429,0,0
3.81728E-3,8.379948586,0.250750867,0.423469388,0,0
3.98205E-3,8.778153099,0.258773278,0.418367347,0,0
4.02041E-3,9.180194547,0.26061688,0.413265306,0,0
4.03525E-3,9.583719673,0.261327314,0.408163265,0,0
4.11764E-3,9.99548382,0.265247717,0.403061224,0,0
4.18452E-3,10.413935924,0.268399603,0.397959184,0.05,0
4.27401E-3,10.841336767,0.272574889,0.392857143,0.05,0
4.28803E-3,11.270139817,0.273224813,0.387755102,0.05,0
4.33976E-3,11.704115904,0.275612508,0.382653061,0.05,0
4.40473E-3,12.144588487,0.278588935,0.37755102,0.05,0
4.42709E-3,12.587297046,0.279607716,0.37244898,0.05,0
4.44954E-3,13.032250621,0.280627726,0.367346939,0.05,0
4.59933E-3,13.492183769,0.287360364,0.362244898,0.05,0
