Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.39094E-5,0.001390937,0.001426627,1,0,0
2.07682E-5,0.003467758,0.002128612,0.994897959,0,0
2.12519E-5,0.005592949,0.002178079,0.989795918,0,0
2.51523E-5,0.010279135,0.002576792,0.979591837,0,0
3.52581E-5,0.027461142,0.003608373,0.948979592,0,0
4.74978E-5,0.053363587,0.00485493,0.918367347,0,0
6.48688E-5,0.105336065,0.006618731,0.87244898,0,0
1.34125E-4,0.211187546,0.013589086,0.816326531,0,0
2.01387E-4,0.317351905,0.020265776,0.785714286,0,0
2.34521E-4,0.405825808,0.023521656,0.765306122,0,0
3.12235E-4,0.525140537,0.031073831,0.744897959,0,0
3.70923E-4,0.627270515,0.036700159,0.729591837,0,0
4.45184E-4,0.715241401,0.043726496,0.719387755,0,0
4.88088E-4,0.764050164,0.047739343,0.714285714,0,0
5.00542E-4,0.814104373,0.048897935,0.709183673,0,0
5.61901E-4,0.920626893,0.054565043,0.698979592,0,0
6.28748E-4,1.042198207,0.060662638,0.68877551,0,0
6.46982E-4,1.106896403,0.06231222,0.683673469,0,0
7.7453E-4,1.249962967,0.073691355,0.673469388,0,0
8.01227E-4,1.330085652,0.076038277,0.668367347,0,0
8.61487E-4,1.416234397,0.081292248,0.663265306,0,0
8.96083E-4,1.505842674,0.084281617,0.658163265,0,0
9.57922E-4,1.791424255,0.089576923,0.642857143,0,0
1.02262E-3,2.093167224,0.095051586,0.62755102,0,0
1.05533E-3,2.303213743,0.09779479,0.617346939,0,0
1.10544E-3,2.523072682,0.101965167,0.607142857,0,0
1.15847E-3,2.751481713,0.106336404,0.596938776,0,0
1.30311E-3,3.000371791,0.118045476,0.586734694,0,0
1.46826E-3,3.293157179,0.131045424,0.576530612,0,0
1.56755E-3,3.59766304,0.138678898,0.566326531,0,0
1.643E-3,3.761963342,0.14438997,0.56122449,0,0
1.78254E-3,4.11186964,0.154754911,0.551020408,0,0
1.82772E-3,4.294641372,0.158057238,0.545918367,0,0
2.17369E-3,4.698663426,0.182515247,0.535714286,0,0
2.28203E-3,4.926866102,0.189884839,0.530612245,0,0
2.51626E-3,5.178492525,0.205372628,0.525510204,0,0
2.56677E-3,5.435169224,0.208634587,0.520408163,0,0
2.66847E-3,5.702015899,0.215122747,0.515306122,0,0
2.68901E-3,5.970917332,0.216420728,0.510204082,0,0
2.69979E-3,6.240895911,0.217099442,0.505102041,0,0
2.79646E-3,6.520541752,0.2231386,0.5,0,0
2.85805E-3,6.80634677,0.226937899,0.494897959,0,0
