Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
9.38223E-6,0.000938223,0.000927041,1,0,0
1.43493E-5,0.002373156,0.001417135,0.994897959,0,0
1.47038E-5,0.003843537,0.001452092,0.989795918,0,0
1.50397E-5,0.005347503,0.001485212,0.984693878,0,0
1.91391E-5,0.010788631,0.001889282,0.969387755,0,0
3.03904E-5,0.027848938,0.002996596,0.933673469,0,0
3.89153E-5,0.05286112,0.003833966,0.897959184,0,0
5.58134E-5,0.102470596,0.005489632,0.846938776,0,0
1.55365E-4,0.208061946,0.015133041,0.795918367,0,0
1.87376E-4,0.310353633,0.018194245,0.765306122,0,0
2.53782E-4,0.407075704,0.024484499,0.744897959,0,0
3.60244E-4,0.526552817,0.03440241,0.724489796,0,0
4.0748E-4,0.604262623,0.038738543,0.714285714,0,0
4.7308E-4,0.735518956,0.044696262,0.698979592,0,0
4.95475E-4,0.785066483,0.046713355,0.693877551,0,0
5.32938E-4,0.838360299,0.05006851,0.68877551,0,0
5.57575E-4,0.949051201,0.052262163,0.678571429,0,0
6.64761E-4,1.01552732,0.06168904,0.673469388,0,0
7.44126E-4,1.158847168,0.068549096,0.663265306,0,0
7.75836E-4,1.236430817,0.071262148,0.658163265,0,0
8.17557E-4,1.318186538,0.074807609,0.653061224,0,0
8.31314E-4,1.401317986,0.075970784,0.647959184,0,0
8.63725E-4,1.570960628,0.078699586,0.637755102,0,0
9.13272E-4,1.838983476,0.082840163,0.62244898,0,0
9.57801E-4,2.027034981,0.086529675,0.612244898,0,0
1.01857E-3,2.324612814,0.09151751,0.596938776,0,0
1.15385E-3,2.544403208,0.10242712,0.586734694,0,0
1.30941E-3,2.805467731,0.114653201,0.576530612,0,0
1.40346E-3,3.077629874,0.12188445,0.566326531,0,0
1.54522E-3,3.379668795,0.132563726,0.556122449,0,0
1.60828E-3,3.540497246,0.137231204,0.551020408,0,0
1.68872E-3,3.874521824,0.143112607,0.540816327,0,0
1.98465E-3,4.072987032,0.164076532,0.535714286,0,0
2.08965E-3,4.281952479,0.171270591,0.530612245,0,0
2.31768E-3,4.513720403,0.186474715,0.525510204,0,0
2.36701E-3,4.750421776,0.189691098,0.520408163,0,0
2.48667E-3,5.245742632,0.197387631,0.510204082,0,0
2.49723E-3,5.495465762,0.198059793,0.505102041,0,0
2.59211E-3,5.754676845,0.204049371,0.5,0,0
2.65266E-3,6.019943168,0.207825389,0.494897959,0,0
2.70588E-3,6.290531581,0.211114757,0.489795918,0,0
3.17973E-3,6.608505061,0.239240143,0.484693878,0,0
3.21097E-3,6.929601654,0.241023585,0.479591837,0,0
3.21205E-3,7.250806421,0.241085208,0.474489796,0,0
3.41831E-3,7.592637371,0.252655079,0.469387755,0,0
3.75104E-3,7.96774159,0.270593401,0.464285714,0,0
3.75962E-3,8.343703204,0.271044267,0.459183673,0,0
3.8325E-3,8.726953133,0.274854478,0.454081633,0,0
3.9624E-3,9.123193302,0.281547709,0.448979592,0,0
4.28936E-3,9.552129045,0.297859678,0.443877551,0,0
4.31252E-3,9.983380747,0.298987074,0.43877551,0,0
4.32482E-3,10.415862434,0.299584353,0.433673469,0,0
4.36464E-3,10.852326076,0.301511023,0.428571429,0,0
4.48862E-3,11.301187815,0.307442542,0.423469388,0,0
4.65138E-3,11.76632607,0.315078328,0.418367347,0,0
4.68913E-3,12.23523936,0.316825313,0.413265306,0,0
4.70372E-3,12.705610873,0.317497756,0.408163265,0,0
4.78454E-3,13.184064828,0.321201009,0.403061224,0,0
4.84996E-3,13.669060961,0.324169236,0.397959184,0.05,0
4.93724E-3,14.162785169,0.328089034,0.392857143,0.05,0
4.95089E-3,14.657874392,0.328697958,0.387755102,0.05,0
5.00119E-3,15.157993402,0.330932215,0.382653061,0.05,0
5.06422E-3,15.664415698,0.333711258,0.37755102,0.05,0
5.08588E-3,16.173004082,0.334660937,0.37244898,0.05,0
5.10762E-3,16.683765586,0.335610984,0.367346939,0.05,0
5.25218E-3,17.208983349,0.341862574,0.362244898,0.05,0
5.27126E-3,17.736109305,0.342678991,0.357142857,0.1,0
5.56878E-3,18.292987352,0.355151343,0.352040816,0.15,0
5.58872E-3,18.851859278,0.355970295,0.346938776,0.15,0
5.59038E-3,19.410897682,0.356038578,0.341836735,0.15,0
5.64216E-3,19.97511321,0.358154864,0.336734694,0.15,0
5.78936E-3,20.554049206,0.364096942,0.331632653,0.2,0
5.7962E-3,21.133668762,0.364370196,0.326530612,0.2,0
5.83218E-3,21.716887101,0.365804953,0.321428571,0.2,0
5.9883E-3,22.315716954,0.37195466,0.316326531,0.2,0
6.07281E-3,22.922998277,0.375234374,0.31122449,0.25,0
6.1243E-3,23.535428147,0.377215605,0.306122449,0.25,0
6.15642E-3,24.151069693,0.37844515,0.301020408,0.25,0
6.20303E-3,24.771372262,0.380220947,0.295918367,0.25,0
6.25713E-3,25.397085021,0.382269485,0.290816327,0.25,0
6.5665E-3,26.053735197,0.393728462,0.285714286,0.25,0
6.66448E-3,26.720182721,0.397269207,0.280612245,0.25,0
6.81341E-3,27.401523947,0.40257324,0.275510204,0.25,0
7.65452E-3,28.166975811,0.430857957,0.270408163,0.25,0
7.79973E-3,28.94694916,0.435472328,0.265306122,0.25,0
7.91043E-3,29.737992431,0.438939974,0.260204082,0.25,0
8.11766E-3,30.549758137,0.44531805,0.255102041,0.25,0
8.15256E-3,31.365013646,0.446377923,0.25,0.25,0
8.2029E-3,32.18530406,0.447899935,0.244897959,0.25,0
8.34634E-3,33.019938488,0.452190492,0.239795918,0.25,0
8.37746E-3,33.857684748,0.453112509,0.234693878,0.25,0
8.54552E-3,34.712236552,0.458038736,0.229591837,0.25,0
8.65427E-3,35.577663503,0.461179555,0.224489796,0.25,0
8.85376E-3,36.46303944,0.466847323,0.219387755,0.25,0
9.03288E-3,37.36632731,0.471835693,0.214285714,0.25,0
9.33117E-3,38.29944453,0.479939008,0.209183673,0.25,0
9.35752E-3,39.235196372,0.480642783,0.204081633,0.25,0
9.39833E-3,40.175029715,0.481729305,0.198979592,0.25,0
9.51178E-3,41.126208025,0.484725664,0.193877551,0.25,0
9.68486E-3,42.094694228,0.48923075,0.18877551,0.25,0
9.76847E-3,43.071541065,0.491378847,0.183673469,0.25,0
1.02062E-2,44.092159039,0.502336403,0.178571429,0.3,0
1.02239E-2,45.114553539,0.502771173,0.173469388,0.3,0
1.0485E-2,46.163058035,0.509074563,0.168367347,0.3,0
1.05808E-2,47.221137254,0.511346198,0.163265306,0.3,0
1.06406E-2,48.285195794,0.512754179,0.158163265,0.3,0
1.10677E-2,49.391967941,0.522580925,0.153061224,0.3,0
1.12987E-2,50.5218389,0.527731714,0.147959184,0.3,0
1.13447E-2,51.656310263,0.528744311,0.142857143,0.35,0
1.16121E-2,52.817524535,0.534545778,0.137755102,0.4,0
1.16424E-2,53.981763964,0.535193059,0.132653061,0.45,0
1.22176E-2,55.203527113,0.547167432,0.12755102,0.45,0
1.30844E-2,56.511966158,0.56408858,0.12244898,0.5,0
1.30873E-2,57.820699615,0.564143901,0.117346939,0.55,0
1.3708E-2,59.191503454,0.575501824,0.112244898,0.55,0
1.39448E-2,60.585988186,0.579680599,0.107142857,0.6,0
1.4456E-2,62.031587994,0.588425846,0.102040816,0.65,0
1.46118E-2,63.492771643,0.591020145,0.096938776,0.65,0
1.5164E-2,65.009168283,0.599954197,0.091836735,0.65,0
1.56453E-2,66.573696889,0.607429969,0.086734694,0.65,0
1.57619E-2,68.149884668,0.609199003,0.081632653,0.65,0
1.63377E-2,69.78365684,0.61770748,0.076530612,0.7,0
1.63839E-2,71.422050265,0.618374269,0.071428571,0.7,0
1.72695E-2,73.149000094,0.630717034,0.066326531,0.75,0
1.75816E-2,74.907156199,0.634878385,0.06122449,0.75,0
1.7619E-2,76.669058977,0.635371705,0.056122449,0.8,0
1.8278E-2,78.496860222,0.643835629,0.051020408,0.8,0
1.83437E-2,80.331233202,0.644658198,0.045918367,0.8,0
1.97394E-2,82.305171682,0.661272073,0.040816327,0.8,0
2.13328E-2,84.438456256,0.678437454,0.035714286,0.8,0
2.19509E-2,86.633544687,0.684635985,0.030612245,0.85,0
2.24441E-2,88.877954284,0.689413733,0.025510204,0.9,0
2.37042E-2,91.248378897,0.700987878,0.020408163,0.9,0
2.51245E-2,93.760827286,0.713040087,0.015306122,0.95,0
2.80553E-2,96.566357513,0.73507581,0.010204082,0.95,0
3.43364E-2,100,0.772513577,0.005102041,0.95,0
