Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
3.22196E-4,0.032219637,0.026191451,1,0,0
3.52854E-4,0.067505086,0.028612352,0.992857143,0,0
3.67231E-4,0.104228141,0.029743409,0.985714286,0,0
4.21783E-4,0.22603552,0.034011552,0.964285714,0,0
4.54676E-4,0.316059933,0.036566986,0.95,0,0
4.69161E-4,0.409411273,0.037687974,0.935714286,0,0
4.96001E-4,0.506108855,0.039758345,0.921428571,0,0
5.09939E-4,0.607085352,0.040830017,0.907142857,0,0
5.98813E-4,0.726148018,0.047607223,0.892857143,0,0
6.58125E-4,0.791960507,0.052077087,0.885714286,0,0
6.99513E-4,0.861911793,0.055171408,0.878571429,0,0
7.31708E-4,0.935082623,0.057564528,0.871428571,0,0
7.40192E-4,1.009101859,0.058193139,0.864285714,0,0
7.74709E-4,1.162222255,0.060741931,0.85,0,0
8.00807E-4,1.242302947,0.062659988,0.842857143,0,0
8.23328E-4,1.324635699,0.064308815,0.835714286,0,0
8.34801E-4,1.408115787,0.065146599,0.828571429,0,0
9.01249E-4,1.582642153,0.069969281,0.814285714,0,0
9.04529E-4,1.763402092,0.070206065,0.8,0,0
1.13998E-3,2.089047483,0.086893055,0.778571429,0,0
1.24181E-3,2.33245378,0.093925427,0.764285714,0,0
1.3496E-3,2.593843827,0.101252758,0.75,0,0
1.44498E-3,2.873510575,0.107638526,0.735714286,0,0
1.53515E-3,3.027025442,0.113592394,0.728571429,0,0
1.81725E-3,3.377429271,0.131716764,0.714285714,0,0
1.93055E-3,3.570484282,0.138789259,0.707142857,0,0
1.95583E-3,3.7660676,0.140351777,0.7,0,0
2.06067E-3,4.173831382,0.146771054,0.685714286,0.076923077,0
2.16328E-3,4.390159692,0.152961415,0.678571429,0.076923077,0
2.2122E-3,4.611379752,0.155881102,0.671428571,0.076923077,0
2.27534E-3,4.838913486,0.159619856,0.664285714,0.076923077,0
2.36227E-3,5.075140195,0.164713692,0.657142857,0.076923077,0
2.47435E-3,5.322575014,0.171190896,0.65,0.076923077,0
2.49587E-3,5.572162481,0.172423436,0.642857143,0.076923077,0
2.57436E-3,5.829598716,0.176886517,0.635714286,0.076923077,0
2.7E-3,6.099598884,0.183931457,0.628571429,0.076923077,0
2.83297E-3,6.382896366,0.191257445,0.621428571,0.076923077,0
2.99371E-3,6.682267693,0.199939415,0.614285714,0.076923077,0
3.03832E-3,6.986099918,0.202315934,0.607142857,0.076923077,0
3.06515E-3,7.292614765,0.203738301,0.6,0.076923077,0
3.07486E-3,7.600100278,0.204251714,0.592857143,0.076923077,0
3.18676E-3,7.918776333,0.210123247,0.585714286,0.076923077,0
3.24403E-3,8.243179058,0.213094567,0.578571429,0.076923077,0
3.33681E-3,8.576860391,0.217861667,0.571428571,0.076923077,0
3.4665E-3,8.923510114,0.224428512,0.564285714,0.076923077,0
3.5014E-3,9.273650459,0.226177278,0.557142857,0.076923077,0
3.58198E-3,9.631848646,0.230184213,0.55,0.076923077,0
3.59928E-3,9.991776512,0.23103893,0.542857143,0.076923077,0
3.69064E-3,10.360840792,0.235522358,0.535714286,0.076923077,0
3.73771E-3,10.734611874,0.237811741,0.528571429,0.076923077,0
