Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.23562E-3,0.123562013,0.112897669,1,0,0
1.29255E-3,0.252817202,0.117488329,0.992857143,0,0
1.31853E-3,0.384670139,0.119567259,0.985714286,0,0
1.36548E-3,0.521217802,0.123299622,0.978571429,0,0
1.38049E-3,0.65926655,0.124486335,0.971428571,0,0
1.41348E-3,0.800614244,0.127083128,0.964285714,0,0
1.45328E-3,0.945942285,0.130195859,0.957142857,0,0
1.46829E-3,1.092771636,0.131364163,0.95,0,0
1.48411E-3,1.241182663,0.132591616,0.942857143,0,0
1.49192E-3,1.390374601,0.133196362,0.935714286,0,0
1.49486E-3,1.539860401,0.133423712,0.928571429,0,0
1.54099E-3,1.847453295,0.136977309,0.914285714,0,0
1.55691E-3,2.003144327,0.138196798,0.907142857,0,0
1.69181E-3,2.340472737,0.148393724,0.892857143,0,0
1.77751E-3,2.518223954,0.154748008,0.885714286,0,0
1.87985E-3,2.889766923,0.162212386,0.871428571,0,0
1.8914E-3,3.078906676,0.163046169,0.864285714,0,0
1.91344E-3,3.270251157,0.164633837,0.857142857,0,0
1.9725E-3,3.661287471,0.168856709,0.842857143,0,0
2.00205E-3,3.861491985,0.170953839,0.835714286,0,0
2.01699E-3,4.063190513,0.172010133,0.828571429,0,0
2.02893E-3,4.266083407,0.172852636,0.821428571,0,0
2.10439E-3,4.686731236,0.178136201,0.807142857,0,0
2.10623E-3,4.897354282,0.178264282,0.8,0,0
2.22945E-3,5.120298872,0.186745342,0.792857143,0,0
2.35884E-3,5.356182596,0.195465071,0.785714286,0,0
2.39103E-3,5.595286057,0.197605886,0.778571429,0,0
2.45139E-3,5.840424802,0.201588229,0.771428571,0,0
2.50777E-3,6.091202191,0.205273299,0.764285714,0,0
2.53313E-3,6.344514763,0.206919075,0.757142857,0,0
2.62791E-3,6.607305998,0.213012462,0.75,0,0
2.63021E-3,6.87032717,0.213159115,0.742857143,0,0
2.73162E-3,7.143488847,0.219572764,0.735714286,0,0
2.82764E-3,7.426253036,0.225550499,0.728571429,0,0
2.98522E-3,7.724774641,0.235163806,0.721428571,0,0
3.1173E-3,8.036504879,0.243040163,0.714285714,0,0
3.22971E-3,8.359475784,0.249616357,0.707142857,0,0
3.25452E-3,8.684927958,0.251052623,0.7,0,0
3.31413E-3,9.016340798,0.254480548,0.692857143,0,0
3.35643E-3,9.351983634,0.256894206,0.685714286,0.076923077,0
3.45472E-3,9.697455609,0.262442866,0.678571429,0.076923077,0
3.50111E-3,10.047566495,0.265032902,0.671428571,0.076923077,0
3.56056E-3,10.40362218,0.26832558,0.664285714,0.076923077,0
3.64166E-3,10.767788208,0.272770408,0.657142857,0.076923077,0
3.74503E-3,11.14229098,0.278357728,0.65,0.076923077,0
3.76473E-3,11.518764317,0.279413148,0.642857143,0.076923077,0
3.8362E-3,11.902384207,0.283215025,0.635714286,0.076923077,0
3.9494E-3,12.297324689,0.289156012,0.628571429,0.076923077,0
4.06773E-3,12.70409759,0.295261246,0.621428571,0.076923077,0
4.20888E-3,13.124985685,0.302408553,0.614285714,0.076923077,0
4.24771E-3,13.549756993,0.304349482,0.607142857,0.076923077,0
4.271E-3,13.976856702,0.305508106,0.6,0.076923077,0
4.27941E-3,14.404797662,0.305925768,0.592857143,0.076923077,0
4.37593E-3,14.842390746,0.310682127,0.585714286,0.076923077,0
4.425E-3,15.284891226,0.313075475,0.578571429,0.076923077,0
4.50408E-3,15.735299013,0.316897117,0.571428571,0.076923077,0
4.61373E-3,16.196671987,0.322126819,0.564285714,0.076923077,0
4.64308E-3,16.660979901,0.323513043,0.557142857,0.076923077,0
4.71057E-3,17.132037275,0.326679522,0.55,0.076923077,0
4.72502E-3,17.604538912,0.327353245,0.542857143,0.076923077,0
4.80105E-3,18.084643431,0.330877741,0.535714286,0.076923077,0
4.84005E-3,18.568648131,0.332671467,0.528571429,0.076923077,0
4.8464E-3,19.053288113,0.332962728,0.521428571,0.076923077,0
5.04537E-3,19.557824961,0.341958008,0.514285714,0.076923077,0
5.07524E-3,20.065349445,0.343287797,0.507142857,0.076923077,0
5.26055E-3,20.591404618,0.351417194,0.5,0.076923077,0
5.29865E-3,21.121269634,0.353063689,0.492857143,0.076923077,0
5.56586E-3,21.677855939,0.36438097,0.485714286,0.076923077,0
5.80325E-3,22.25818046,0.374107788,0.478571429,0.076923077,0
5.88246E-3,22.846426223,0.377287638,0.471428571,0.076923077,0
5.91988E-3,23.438414005,0.378778598,0.464285714,0.076923077,0
5.92635E-3,24.031049269,0.379035856,0.457142857,0.076923077,0
5.93803E-3,24.624852087,0.379499208,0.45,0.076923077,0
5.96014E-3,25.220866395,0.380374964,0.442857143,0.076923077,0
6.18993E-3,25.839859407,0.389330406,0.435714286,0.076923077,0
6.31848E-3,26.471707223,0.394228274,0.428571429,0.076923077,0
6.42717E-3,27.114424112,0.398308663,0.421428571,0.153846154,0
6.42857E-3,27.757281479,0.39836104,0.414285714,0.153846154,0
6.48505E-3,28.405786483,0.400459244,0.407142857,0.153846154,0
6.64293E-3,29.070079356,0.406247846,0.4,0.153846154,0
6.67642E-3,29.737721411,0.407461478,0.392857143,0.153846154,0
6.95965E-3,30.433686056,0.417529628,0.385714286,0.153846154,0
7.13376E-3,31.147061836,0.423550898,0.378571429,0.153846154,0
7.16346E-3,31.863407471,0.424565553,0.371428571,0.153846154,0
7.21849E-3,32.585256532,0.426436395,0.364285714,0.153846154,0
7.26441E-3,33.311697505,0.42798809,0.357142857,0.230769231,0
7.30743E-3,34.042440128,0.429434103,0.35,0.230769231,0
7.36357E-3,34.778796785,0.431310317,0.342857143,0.230769231,0
7.38938E-3,35.517734335,0.43216872,0.335714286,0.230769231,0
7.41203E-3,36.258937469,0.432920118,0.328571429,0.230769231,0
7.57921E-3,37.016857976,0.438403681,0.321428571,0.230769231,0
7.66085E-3,37.782942954,0.441043393,0.314285714,0.230769231,0
7.73999E-3,38.55694197,0.443578559,0.307142857,0.230769231,0
8.44008E-3,39.400950295,0.465042298,0.3,0.230769231,0
8.44562E-3,40.245512517,0.465205514,0.292857143,0.307692308,0
9.01429E-3,41.14694125,0.481448347,0.285714286,0.307692308,0
9.12934E-3,42.05987501,0.48461527,0.278571429,0.307692308,0
9.20149E-3,42.98002397,0.486581696,0.271428571,0.307692308,0
9.33525E-3,43.91354877,0.490187723,0.264285714,0.307692308,0
9.35568E-3,44.849117152,0.490734202,0.257142857,0.307692308,0
9.7483E-3,45.823947455,0.501010431,0.25,0.307692308,0
9.76324E-3,46.80027103,0.501393093,0.242857143,0.307692308,0
9.7675E-3,47.777021441,0.501502365,0.235714286,0.307692308,0
1.00162E-2,48.778645604,0.507788482,0.228571429,0.307692308,0
1.01219E-2,49.790837805,0.510411514,0.221428571,0.307692308,0
1.05168E-2,50.842514027,0.519969096,0.214285714,0.307692308,0
1.11247E-2,51.954983701,0.533976577,0.207142857,0.384615385,0
1.13955E-2,53.094535997,0.539956881,0.2,0.384615385,0
1.15334E-2,54.247876095,0.542942885,0.192857143,0.461538462,0
1.16093E-2,55.408807129,0.544570356,0.185714286,0.538461538,0
1.19728E-2,56.606089601,0.552206031,0.178571429,0.538461538,0
1.21416E-2,57.820245174,0.555663919,0.171428571,0.538461538,0
1.21628E-2,59.036526408,0.556095758,0.164285714,0.538461538,0
1.23073E-2,60.267254811,0.559008677,0.157142857,0.538461538,0
1.25053E-2,61.517786494,0.562939962,0.15,0.538461538,0
1.26235E-2,62.78013173,0.56525195,0.142857143,0.538461538,0
1.33327E-2,64.113406055,0.578634751,0.135714286,0.538461538,0
1.46024E-2,65.573649251,0.600640986,0.128571429,0.538461538,0
1.48959E-2,68.523483354,0.605404377,0.114285714,0.538461538,0
1.50432E-2,70.027804175,0.607752597,0.107142857,0.538461538,0
1.53758E-2,71.565381802,0.612952925,0.1,0.615384615,0
1.6261E-2,73.191485259,0.626146472,0.092857143,0.615384615,0
1.64254E-2,74.834027817,0.62849809,0.085714286,0.692307692,0
1.73939E-2,76.573420326,0.641773397,0.078571429,0.692307692,0
1.74396E-2,78.317383014,0.642376433,0.071428571,0.692307692,0
1.84841E-2,80.165791644,0.655625197,0.064285714,0.692307692,0
1.88721E-2,82.052999492,0.660300136,0.057142857,0.692307692,0
1.93823E-2,83.991230325,0.666258106,0.05,0.769230769,0
2.05027E-2,86.041503002,0.678635114,0.042857143,0.769230769,0
2.22499E-2,88.26649614,0.69620424,0.035714286,0.846153846,0
2.40828E-2,90.674771958,0.712681788,0.028571429,0.846153846,0
3.0028E-2,93.677571767,0.755668841,0.021428571,0.923076923,0
3.13909E-2,96.816666188,0.763771294,0.014285714,0.923076923,0
3.18333E-2,100,0.766286949,0.007142857,1,0
