X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-76.1025,5.24,train,0.008719334587859494,32.6577877340829,0.4386623035156241
-76.1713,6.0298,train,0.005997066035260205,19.873397687526307,0.3495846614570607
-76.0472,5.7699,train,0.018514534986475983,69.79396420719341,0.6239669514891678
-76.0911,6.4317,train,0.027291350667373274,89.72888390519745,0.7098043665144105
-75.9014,5.515,train,0.01704821474404912,66.1971181135787,0.6044184421769427
-76.0261,5.6428,train,0.012685920201604986,48.54903459334525,0.5320452663256071
-76.0346,6.514,train,0.023412355822242256,84.466313646372,0.6772425091165782
-76.95,2.5333,train,0.01251093695089349,47.28044229262064,0.5285856664572229
-76.1438,4.9921,train,0.011390631401497922,44.812472978056704,0.5051636869623631
-76.2301,5.1383,train,0.00714638567230503,25.815132248922804,0.390424310709296
-75.7966,5.5402,train,0.02156844237129365,79.91025665175025,0.659057179547697
-76.1772,5.82,train,0.0023746962010084798,4.981222631737558,0.17548146250325364
-76.0797,5.122,train,0.03452794957485423,96.50656232645068,0.7557712380588623
