Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.03314E-3,0.103313649,0.099327149,1,0,0
1.09747E-3,0.213060573,0.104863602,0.992857143,0,0
1.12699E-3,0.325759149,0.107381069,0.985714286,0,0
1.18057E-3,0.443815854,0.111915022,0.978571429,0,0
1.19776E-3,0.563591895,0.113360148,0.971428571,0,0
1.23564E-3,0.687156392,0.116527858,0.964285714,0,0
1.28153E-3,0.815308958,0.12033399,0.957142857,0,0
1.29888E-3,0.945196658,0.121764875,0.95,0,0
1.31718E-3,1.076914983,0.12326947,0.942857143,0,0
1.32623E-3,1.209538096,0.124011215,0.935714286,0,0
1.32964E-3,1.342501848,0.124290146,0.928571429,0,0
1.37618E-3,1.480120174,0.128083803,0.921428571,0,0
1.38323E-3,1.618442832,0.128655,0.914285714,0,0
1.40177E-3,1.758619398,0.130154904,0.907142857,0,0
1.55972E-3,2.069348576,0.142727517,0.892857143,0,0
1.72945E-3,2.408368952,0.15583917,0.878571429,0,0
1.78195E-3,2.586564077,0.159813888,0.871428571,0,0
1.79566E-3,2.766129685,0.160845305,0.864285714,0,0
1.85088E-3,3.133401965,0.164975759,0.85,0,0
1.89209E-3,3.322610599,0.168031605,0.842857143,0,0
1.92728E-3,3.515339037,0.170624113,0.835714286,0,0
1.95933E-3,3.905781576,0.172970661,0.821428571,0,0
2.04666E-3,4.110447546,0.179297622,0.814285714,0,0
2.04941E-3,4.31538829,0.17949513,0.807142857,0,0
2.05161E-3,4.520549016,0.179653186,0.8,0,0
2.354E-3,4.975846774,0.200815078,0.785714286,0,0
2.39259E-3,5.215106243,0.203437941,0.778571429,0,0
2.46496E-3,5.461602185,0.208309246,0.771428571,0,0
2.53258E-3,5.714859782,0.212807384,0.764285714,0,0
2.56298E-3,5.971157465,0.214813163,0.757142857,0,0
2.67662E-3,6.238819891,0.222221686,0.75,0,0
2.67938E-3,6.506757955,0.222399635,0.742857143,0,0
2.8009E-3,6.78684792,0.23016464,0.735714286,0,0
2.91587E-3,7.078435371,0.237370035,0.728571429,0,0
3.10426E-3,7.388860969,0.248888632,0.721428571,0,0
3.26181E-3,7.715042361,0.258258648,0.714285714,0,0
3.39559E-3,8.05460179,0.266033007,0.707142857,0,0
3.42508E-3,8.397110175,0.267724859,0.7,0,0
3.49586E-3,8.746696282,0.271753784,0.692857143,0,0
3.54603E-3,9.101299397,0.274582922,0.685714286,0.076923077,0
3.66242E-3,9.467541224,0.281062209,0.678571429,0.076923077,0
3.71725E-3,9.839266305,0.284074801,0.671428571,0.076923077,0
3.78742E-3,10.218008766,0.287893635,0.664285714,0.076923077,0
3.88298E-3,10.606307197,0.29302892,0.657142857,0.076923077,0
4.00447E-3,11.006754172,0.299451467,0.65,0.076923077,0
4.02759E-3,11.409513099,0.300660527,0.642857143,0.076923077,0
4.11133E-3,11.820645626,0.305004882,0.635714286,0.076923077,0
4.24361E-3,12.245006251,0.311758911,0.628571429,0.076923077,0
4.38138E-3,12.683144149,0.318655178,0.621428571,0.076923077,0
4.54506E-3,13.137649865,0.326670639,0.614285714,0.076923077,0
4.58995E-3,13.59664536,0.328836467,0.607142857,0.076923077,0
4.61685E-3,14.058330199,0.330127123,0.6,0.076923077,0
4.62656E-3,14.520986189,0.330591973,0.592857143,0.076923077,0
4.73779E-3,14.994765162,0.335870445,0.585714286,0.076923077,0
4.7942E-3,15.474185461,0.338515877,0.578571429,0.076923077,0
4.8849E-3,15.962675731,0.342725231,0.571428571,0.076923077,0
5.01027E-3,16.463702361,0.348455902,0.564285714,0.076923077,0
5.04374E-3,16.968076296,0.349969171,0.557142857,0.076923077,0
5.12059E-3,17.480134808,0.353416808,0.55,0.076923077,0
5.137E-3,17.993835285,0.354148728,0.542857143,0.076923077,0
5.2233E-3,18.516165374,0.357968377,0.535714286,0.076923077,0
5.26748E-3,19.042913176,0.359906319,0.528571429,0.076923077,0
5.27467E-3,19.570379969,0.360220616,0.521428571,0.076923077,0
5.49901E-3,20.120281103,0.369874757,0.514285714,0.076923077,0
5.53256E-3,20.673536723,0.371293305,0.507142857,0.076923077,0
5.73978E-3,21.247515192,0.379916945,0.5,0.076923077,0
5.78221E-3,21.825736379,0.381653423,0.492857143,0.076923077,0
6.07807E-3,22.433543221,0.393497171,0.485714286,0.076923077,0
