Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
3.18823E-5,0.003188225,0.008644716,1,0,0
7.2674E-5,0.01045563,0.019489645,0.997159091,0,0
8.8009E-5,0.027335093,0.023505492,0.991477273,0,0
9.2103E-5,0.054259269,0.024572042,0.982954545,0,0
1.39175E-4,0.102332709,0.036669886,0.971590909,0,0
1.70687E-4,0.209560086,0.044602249,0.951704545,0,0
2.31084E-4,0.311615441,0.059446402,0.9375,0,0
2.97476E-4,0.42171348,0.075240734,0.926136364,0,0
3.49231E-4,0.51849899,0.087189688,0.917613636,0,0
3.56371E-4,0.625109112,0.08881402,0.909090909,0,0
3.8153E-4,0.734842082,0.094491632,0.900568182,0,0
3.8915E-4,0.773757044,0.096197256,0.897727273,0,0
4.04583E-4,0.814215319,0.099632202,0.894886364,0,0
4.19659E-4,0.938593198,0.102962585,0.886363636,0,0
4.56109E-4,1.028243673,0.110913681,0.880681818,0,0
4.6868E-4,1.121696994,0.113623145,0.875,0,0
5.03534E-4,1.22112601,0.121050042,0.869318182,0,0
5.17207E-4,1.323824242,0.123929892,0.863636364,0,0
5.59493E-4,1.434393933,0.132717437,0.857954545,0,0
6.19078E-4,1.557878563,0.144804837,0.852272727,0.014084507,0
6.33518E-4,1.808164993,0.147683522,0.840909091,0.014084507,0
6.48303E-4,2.06440498,0.150611139,0.829545455,0.014084507,0
6.59194E-4,2.260647535,0.152754849,0.821022727,0.014084507,0
6.79583E-4,2.528367654,0.156738963,0.809659091,0.014084507,0
7.49501E-4,2.820116009,0.170121553,0.798295455,0.014084507,0
8.04404E-4,3.051285266,0.180335932,0.789772727,0.014084507,0
8.23603E-4,3.296316199,0.183848891,0.78125,0.014084507,0
8.65928E-4,3.550975014,0.191487765,0.772727273,0.014084507,0
8.87231E-4,3.814987508,0.195278621,0.764204545,0.028169014,0
9.31872E-4,4.091402102,0.203108328,0.755681818,0.028169014,0
9.72097E-4,4.282211987,0.210034357,0.75,0.028169014,0
1.0173E-3,4.582558688,0.217675152,0.741477273,0.028169014,0
1.0418E-3,4.789661715,0.221754204,0.735795455,0.028169014,0
1.09159E-3,5.006650566,0.22991653,0.730113636,0.028169014,0
1.18266E-3,5.350533934,0.244409536,0.721590909,0.028169014,0
1.24523E-3,5.599067882,0.254055411,0.715909091,0.028169014,0
1.25384E-3,5.84911806,0.255363194,0.710227273,0.028169014,0
1.33585E-3,6.112530772,0.267595989,0.704545455,0.028169014,0
1.36483E-3,6.383756262,0.27182326,0.698863636,0.028169014,0
1.43301E-3,6.527057354,0.281579311,0.696022727,0.028169014,0
1.49181E-3,6.824929108,0.289784402,0.690340909,0.028169014,0
1.50341E-3,7.124683324,0.291381312,0.684659091,0.028169014,0
1.51129E-3,7.275812803,0.292462915,0.681818182,0.028169014,0
1.5215E-3,7.579512686,0.293858035,0.676136364,0.028169014,0
1.54827E-3,7.888813741,0.297489088,0.670454545,0.028169014,0
1.62023E-3,8.050836792,0.307070584,0.667613636,0.028169014,0
1.63728E-3,8.377477059,0.309302596,0.661931818,0.028169014,0
1.64081E-3,8.54155762,0.309762133,0.659090909,0.028169014,0
1.67444E-3,8.873509209,0.314117526,0.653409091,0.028169014,0
1.68528E-3,9.042037419,0.315509503,0.650568182,0.028169014,0
1.76046E-3,9.391247445,0.325009252,0.644886364,0.042253521,0
1.79851E-3,9.571097947,0.329717473,0.642045455,0.042253521,0
1.85346E-3,9.75644428,0.336403495,0.639204545,0.042253521,0
1.85803E-3,10.127892986,0.336953005,0.633522727,0.042253521,0
1.86186E-3,10.314079227,0.337413564,0.630681818,0.042253521,0
1.88173E-3,10.502252467,0.339790919,0.627840909,0.042253521,0
1.88653E-3,10.879101054,0.340362541,0.622159091,0.056338028,0
1.89011E-3,11.068111613,0.340787632,0.619318182,0.056338028,0
1.91021E-3,11.25913256,0.34316848,0.616477273,0.056338028,0
2.02712E-3,11.6608258,0.35668058,0.610795455,0.056338028,0
2.0389E-3,11.86471589,0.358010866,0.607954545,0.070422535,0
2.05768E-3,12.07048422,0.360121187,0.605113636,0.070422535,0
2.06198E-3,12.276682653,0.360602486,0.602272727,0.070422535,0
2.06348E-3,12.689303671,0.360769401,0.596590909,0.084507042,0
2.07014E-3,12.896317544,0.361513002,0.59375,0.098591549,0
2.08748E-3,13.105065954,0.363441177,0.590909091,0.098591549,0
2.12906E-3,13.317971964,0.368015847,0.588068182,0.112676056,0
2.14942E-3,13.532914139,0.370232369,0.585227273,0.112676056,0
2.16401E-3,13.965315188,0.371810828,0.579545455,0.14084507,0
2.19724E-3,14.185039688,0.375377652,0.576704545,0.14084507,0
2.21303E-3,14.406342209,0.377057041,0.573863636,0.154929577,0
2.22533E-3,14.628874827,0.378359904,0.571022727,0.154929577,0
2.22747E-3,14.851621402,0.378585962,0.568181818,0.154929577,0
2.22816E-3,15.074437039,0.378658895,0.565340909,0.154929577,0
2.26111E-3,15.300547781,0.382118899,0.5625,0.154929577,0
2.26155E-3,15.526702515,0.382164833,0.559659091,0.154929577,0
2.27337E-3,15.754039336,0.383396519,0.556818182,0.154929577,0
2.27371E-3,16.208754079,0.383431689,0.551136364,0.154929577,0
2.39194E-3,16.447948085,0.395484874,0.548295455,0.154929577,0
2.41798E-3,16.689746367,0.39807671,0.545454545,0.154929577,0
2.4402E-3,16.933766785,0.400270725,0.542613636,0.154929577,0
2.45031E-3,17.178797857,0.401263306,0.539772727,0.154929577,0
2.48672E-3,17.427469511,0.404811713,0.536931818,0.154929577,0
2.50682E-3,17.678151771,0.406753445,0.534090909,0.154929577,0
2.5499E-3,17.933141627,0.410871126,0.53125,0.154929577,0
2.56339E-3,18.189480791,0.412149216,0.528409091,0.169014085,0
2.62528E-3,18.452008668,0.417940927,0.525568182,0.183098592,0
