X_id,source,occurrenceID,species,speciesOriginal,continent,country,lat,lon,catalogNumber,basisOfRecord,earliestDateCollected,downloadDate,resourceName,resourceFolder,resourceIncorporationDate,privateData,decimalLatitude,decimalLongitude,acceptedNameUsage,correctCountry,suggestedCountry,correctStateProvince,suggestedStateProvince,correctCounty,suggestedCounty,sourceLayer,suggestedMunicipality,dbDuplicate,lowUncertainty,hasLocality,inUrbanArea,cellID,spatialDuplicated,url,contributedRecord,insideKnownDistribution,dist2KnowRange,demAltitude,interpretedElevation,environmentalOutlier,diferenceInAltitude,consistentAltitude,altitudinalOutlier,use,taxID,reported,updated,created,collectionCode,stateProvince,institutionCode,year,month,day,recordedBy,visualizationPrivileges,county,verbatimLocality,coordinateUncertaintyInMeters,verbatimElevation,externallyCreated,origin,presence,reportedDate,reportedGeoIssueBm,reportedUserIdBm,season,reportedIdIssueBm,userIdBm,reportedCommentsBm,reportedOriginIntroduced,reportedOriginVagrant,reportedOtherIssuesBm,colection,maximumElevationInMeters,minimumElevationInMeters,recordStatus,createdDate,createdCommentsBm,createdCitationBm,reportedOldTaxonomyBm,eventDate
5f62c14bdb6000001b00563a,AMNH,49210_AMNH-roedores-31,Coendou quichua,Coendou quichua,Sudamerica,CO,4.8511,-74.6336,AMNH 73679,PreservedSpecimen ,,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,4.8511,-74.6336,Coendou quichua,TRUE,Colombia,TRUE,Cundinamarca,TRUE,San Juan de Rioseco,mpios2014 - mpios2014 - mpios2014,,FALSE,,FALSE,FALSE,2529846,FALSE,"",NULL,FALSE,,1183,,,,,,TRUE,8797,list(),list(),list(),AMNH,Cundinamarca,AMNH,,,,"",0,San Juan de RÌo Seco,"",,"",,,,,,,,,,,,,,,,,,,,,,
5f62c14bdb6000001b00563b,HÈctor RamÌrez-Chaves,45410_HRC-roedores-20,Coendou quichua,Coendou quichua,Sudamerica,CO,5.1178,-74.4792,"",HumanObservation,,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,5.1178,-74.4792,Coendou quichua,TRUE,Colombia,TRUE,Cundinamarca,TRUE,Quebradanegra,mpios2014 - mpios2014 - mpios2014,QUEBRADANEGRA,FALSE,,TRUE,TRUE,2443593,FALSE,"",NULL,FALSE,,1336,,,,,,TRUE,8797,list(),list(),list(),"",Cundinamarca,"",,,,"",0,Quebradanegra,Vereda Agua FrÌa,,"",,,,,,,,,,,,,,,,,,,,,,
5f62c14bdb6000001b00563c,HÈctor RamÌrez-Chaves,45310_HRC-roedores-14,Coendou quichua,Coendou quichua,Sudamerica,CO,5.1236,-74.9517,"",HumanObservation,,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,5.1236,-74.9517,Coendou quichua,TRUE,Colombia,TRUE,Tolima,TRUE,Falan,mpios2014 - mpios2014 - mpios2014,FALAN,FALSE,,FALSE,TRUE,2443536,FALSE,"",NULL,FALSE,,946,,,,,,TRUE,8797,list(),list(),list(),"",Tolima,"",,,,"",0,Falan,"",,"",,,,,,,,,,,,,,,,,,,,,,
5f62c14bdb6000001b00563d,KOH CCO KSR,ACIF_013,Coendou quichua,Coendou sp. ,Sudamerica,CO,5.1453,-74.9557,"",Photographie,,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,5.1453,-74.9557,Coendou quichua,TRUE,Colombia,TRUE,Tolima,TRUE,Falan,mpios2014 - mpios2014 - mpios2014,,FALSE,,TRUE,FALSE,2435448,FALSE,"",NULL,FALSE,,965,977,,,,,TRUE,8797,list(),list(),list(),"",Tolima,SCE-ACI,,,,ArasarÌ ConservaciÛn e InvestigaciÛn,0,Falan,Vereda Hoyo Negro,,977,,,,,,,,,,,,,,,,,,,,,,
5f62c14bdb6000001b00563e,ICN,41810_ICN-roedores-45,Coendou quichua,Coendou quichua,Sudamerica,CO,5.3442,-74.4917,ICN 2003?,PreservedSpecimen ,,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,5.3442,-74.4917,Coendou quichua,TRUE,Colombia,TRUE,Cundinamarca,TRUE,CaparrapÌ,mpios2014 - mpios2014 - mpios2014,Caparrap√≠,FALSE,,TRUE,TRUE,2370799,FALSE,"",NULL,FALSE,,1180,,,,,,TRUE,8797,list(),list(),list(),ICN ,Cundinamarca,ICN,,,,"",0,CaparrapÌ,Volcanes,,"",,,,,,,,,,,,,,,,,,,,,,
5f62c14bdb6000001b00563f,MHN-UCa,40110_MHN-UCa-roedores-25,Coendou quichua,Coendou quichua,Sudamerica,CO,5.5,-75.0333,MHN-UCa 1616,PreservedSpecimen ,,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,5.5,-75.0333,Coendou quichua,TRUE,Colombia,TRUE,Caldas,TRUE,Saman·,mpios2014 - mpios2014 - mpios2014,,FALSE,,TRUE,FALSE,2322206,FALSE,"",NULL,FALSE,,1041,,,,,,TRUE,8797,list(),list(),list(),MHN-UCa,Caldas,"",,,,"",0,Saman·,Parque Nacional Natural Selva de Florencia  microcuenca Chupaderos 1  Vereda San Lucas,,"",,,,,,,,,,,,,,,,,,,,,,
5f62c14bdb6000001b005641,MLS,35210_MLS-roedores-2,Coendou quichua,Coendou quichua,Sudamerica,CO,6.5419,-73.3075,MLS 641,PreservedSpecimen ,,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,6.5419,-73.3075,Coendou quichua,TRUE,Colombia,TRUE,Santander,TRUE,Hato,mpios2014 - mpios2014 - mpios2014,HATO,FALSE,,FALSE,TRUE,1982718,FALSE,"",NULL,FALSE,,1271,,,,,,TRUE,8797,list(),list(),list(),MLS,Santander ,MLS,,,,"",0,El Hato,"",,"",,,,,,,,,,,,,,,,,,,,,,
5f62c14bdb6000001b005642,Photograph ,Biblio_grand_roed_43,Coendou quichua,Coendou quichua,Sudamerica,CO,6.608,-73.2126,"","",,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,6.608,-73.2126,Coendou quichua,TRUE,Colombia,TRUE,Santander,TRUE,Barichara,mpios2014 - mpios2014 - mpios2014,,FALSE,,FALSE,FALSE,1963857,FALSE,https://colombia.inaturalist.org/observations?place_id=7197,NULL,FALSE,,1445,,,,,,TRUE,8797,list(),list(),list(),"",Santander ,"",,,,"",0,Barichara ,"",,"",,,,,,,,,,,,,,,,,,,,,,
5f62c14bdb6000001b005643,HÈctor RamÌrez-Chaves,34710_HRC-roedores-18,Coendou quichua,Coendou quichua,Sudamerica,CO,6.8819,-73.4119,"",Literature,,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,6.8819,-73.4119,Coendou quichua,TRUE,Colombia,TRUE,Santander,TRUE,San Vicente de ChucurÌ,mpios2014 - mpios2014 - mpios2014,SAN VICENTE DE CHUCUR√ç,FALSE,,FALSE,TRUE,1874865,FALSE,"",NULL,FALSE,,634,,,,,,TRUE,8797,list(),list(),list(),"",Santander ,"",,,,"",0,San Vicente de ChucurÌ ,"",,"",,,,,,,,,,,,,,,,,,,,,,
5f62c14bdb6000001b005644,HÈctor RamÌrez-Chaves,34610_HRC-roedores-17,Coendou quichua,Coendou quichua,Sudamerica,CO,6.8833,-73.4167,ICN 2015,Literature,,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,6.8833,-73.4167,Coendou quichua,TRUE,Colombia,TRUE,Santander,TRUE,San Vicente de ChucurÌ,mpios2014 - mpios2014 - mpios2014,,FALSE,,TRUE,FALSE,1874864,FALSE,"",NULL,FALSE,,556,,,,,,TRUE,8797,list(),list(),list(),"",Santander ,"",,,,"",0,San Vicente de ChucurÌ ,Hacienda TrianÛn,,"",,,,,,,,,,,,,,,,,,,,,,
5f62c14bdb6000001b005645,Photograph ,Biblio_grand_roed_44,Coendou quichua,Coendou quichua,Sudamerica,CO,6.9795,-75.2966,"","",,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,6.9795,-75.2966,Coendou quichua,TRUE,Colombia,TRUE,Antioquia,TRUE,Campamento,mpios2014 - mpios2014 - mpios2014,CAMPAMENTO,FALSE,,FALSE,TRUE,1842287,FALSE,https://colombia.inaturalist.org/observations?place_id=7198,NULL,FALSE,,1658,,,,,,TRUE,8797,list(),list(),list(),"",Antioquia ,"",,,,"",0,Campamento,"",,"",,,,,,,,,,,,,,,,,,,,,,
5f62c14bdb6000001b005646,Photograph ,Biblio_grand_roed_45,Coendou quichua,Coendou quichua,Sudamerica,CO,7.0368,-73.3578,"","",,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,7.0368,-73.3578,Coendou quichua,TRUE,Colombia,TRUE,Santander,TRUE,Betulia,mpios2014 - mpios2014 - mpios2014,,FALSE,,FALSE,FALSE,1823648,FALSE,https://colombia.inaturalist.org/observations?place_id=7199,NULL,FALSE,,285,,,,,,TRUE,8797,list(),list(),list(),"",Santander,"",,,,"",0,Betulia,"",,"",,,,,,,,,,,,,,,,,,,,,,
5f62c14bdb6000001b005647,HÈctor RamÌrez-Chaves,33610_HRC-roedores-16,Coendou quichua,Coendou quichua,Sudamerica,CO,7.1333,-73,"",Literature,,2020-09-16T20:48:16Z,01_Plantilla_registros_consolidados_roedores.csv,02092020_Grandes_roedores,2020-09-16,0,7.1333,-73,Coendou quichua,TRUE,Colombia,TRUE,Santander,FALSE,Tona,mpios2014 - mpios2014 - NA,,FALSE,,FALSE,FALSE,1794034,FALSE,"",NULL,FALSE,,2434,,,,,,TRUE,8797,list(),list(),list(),"",Santander ,"",,,,"",0,Bucaramanga,"",,"",,,,,,,,,,,,,,,,,,,,,,
